SMILES	Label	File	Index	NumAtoms	MW	logP	HBD	HBA	TPSA	RB	Rings	HeavyAtoms
Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(NCC3(F)CCCN(C(=O)OC(C)(C)C)C3)c21	WXMG_A02C053	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	6	35	489.55	2.47	2	8	114.67	4	4	35
Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(CNc3ccc4c(c3)N(C(=O)OC(C)(C)C)CC4)c21	WXMG_A18C177	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	27	37	505.58	3.23	2	8	114.67	4	5	37
Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(Nc3cnc4cccnn34)c21	WXMG_A02C397	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	32	29	391.39	1.10	2	9	115.32	3	5	29
Cc1cn(-c2cc(NCc3cccc4c3n(C)c(=O)n4C3CCC(=O)NC3=O)cc(C(F)(F)F)c2)cn1	WXMG_A18C461	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	35	37	512.49	3.44	2	8	102.95	5	5	37
Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(NCc3c(F)ccc4c3CCO4)c21	WXMG_A02C388	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	36	31	424.43	2.00	2	7	94.36	4	5	31
CCn1cc(Nc2cc(F)c(C3CCC(=O)NC3=O)c(F)c2)nn1	WXMG_A11C447	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	51	24	335.31	1.84	2	6	88.91	4	3	24
Cn1c(=O)n(C)c2cc(Nc3ccc(C4CCC(=O)NC4=O)cc3)ccc21	WXMG_A04C045	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	102	27	364.41	2.14	2	6	85.13	3	4	27
CCOC(=O)c1cn2cc(Nc3cccc4c(N5CCC(=O)NC5=O)nn(C)c34)ccc2n1	WXMG_A05C385	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	104	33	447.46	2.59	2	9	122.86	5	5	33
Cc1cc(Nc2cccc3c(N4CCC(=O)NC4=O)nn(C)c23)n(-c2ccccc2)n1	WXMG_A05C013	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	142	31	415.46	3.26	2	7	97.08	4	5	31
Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(NC3COc4ccccc4C3)c21	WXMG_A02C482	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	143	30	406.44	1.73	2	7	94.36	3	5	30
Cc1nc(-c2cccc(Nc3ccc4c(N5CCC(=O)NC5=O)nn(C)c4c3)c2)cs1	WXMG_A03C041	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	144	31	432.51	4.20	2	7	92.15	4	5	31
O=C1CCC(c2ccc(Nc3cnn(-c4ccccn4)c3)cc2)C(=O)N1	WXMG_A04C453	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	154	26	347.38	2.53	2	6	88.91	4	4	26
O=C1CCC(c2ccc(NC3CC(=O)N(Cc4ccccc4)C3)cc2)C(=O)N1	WXMG_A04C156	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	160	28	377.44	2.42	2	4	78.51	5	4	28
Cc1nn(C2CCC(=O)NC2=O)c2cccc(N[C@@H]3COc4ccccc4C3)c12	WXMG_A09C482	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	164	29	390.44	2.74	2	6	85.25	3	5	29
O=C1CCC(c2ccc(NCc3cccc4ncsc34)cc2)C(=O)N1	WXMG_A13D010	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	192	25	351.43	3.43	2	5	71.09	4	4	25
O=C1CCC(c2cccc(NC3CCN(c4ncccn4)C3)c2)C(=O)N1	WXMG_A06C011	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	197	26	351.41	1.69	2	6	87.22	4	4	26
CC(C)S(=O)(=O)c1ccccc1Nc1ccc(C2CCC(=O)NC2=O)cc1	WXMG_A04C136	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	202	27	386.47	3.13	2	5	92.34	5	3	27
CC(C)(C)OC(=O)N1CCc2ccc(Nc3ccc(C4CCC(=O)NC4=O)cc3)cc2C1	WXMG_A04C121	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	215	32	435.52	4.24	2	5	87.74	3	4	32
Cn1c(=O)n(C2CCC(=O)NC2=O)c2cc(NC[C@@]34CCC[C@H]3CN(C(=O)OC(C)(C)C)C4)ccc21	WXMG_A08C304	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	218	36	497.60	2.77	2	8	114.67	4	5	36
Cn1nc(N2CCC(=O)NC2=O)c2cc(F)c(N[C@]34CCC[C@H]3N(C(=O)OC(C)(C)C)CC4)cc21	WXMG_A12C319	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	220	35	486.55	3.50	2	7	108.80	3	5	35
Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(NCC3CCc4ccccc4O3)c21	WXMG_A02C008	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	222	31	420.47	2.12	2	7	94.36	4	5	31
Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(CNc3ccc(-n4nc(C(F)(F)F)cc4C(F)(F)F)cc3)c21	WXMG_A18C376	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	246	40	566.46	4.15	2	8	102.95	5	5	40
Cn1nc(N2CCC(=O)NC2=O)c2cccc(NCc3ccc(-n4cccn4)nc3)c21	WXMG_A05C389	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	260	31	416.45	2.21	2	8	109.97	5	5	31
O=C1CCC(c2c(F)cc(NCC3CCOCC3)cc2F)C(=O)N1	WXMG_A11C093	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	267	24	338.35	2.32	2	4	67.43	4	3	24
