SMILES	Label	File	Index	NumAtoms	MW	logP	HBD	HBA	TPSA	RB	Rings	HeavyAtoms
CC(NCc1cccc2c1n(C)c(=O)n2C1CCC(=O)NC1=O)C1CCCN(C(=O)OC(C)(C)C)C1	WXMG_A18C097	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	596	36	499.61	2.44	2	8	114.67	5	4	36
Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(CNC3CCOc4ccc(Cl)cc43)c21	WXMG_A18C413	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	1132	32	454.91	2.58	2	7	94.36	4	5	32
Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(CNC3COC4(CCN(C(=O)OC(C)(C)C)CC4)C3)c21	WXMG_A18C405	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	1234	38	527.62	1.97	2	9	123.90	4	5	38
CC(C)(C)OC(=O)N1CC(F)(F)C[C@@H]1CNC1CCN(c2ccc(C3CCC(=O)NC3=O)cc2)CC1	WXMG_A14C339	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	1378	36	506.59	3.41	2	6	90.98	5	4	36
C[C@H](NCc1cccc2c1n(C)c(=O)n2C1CCC(=O)NC1=O)C1CCN(C(=O)OC(C)(C)C)CC1	WXMG_A18C396	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	2017	36	499.61	2.44	2	8	114.67	5	4	36
CC(C)(C)OC(=O)N1CC(NC2CCN(c3ccc(C4CCC(=O)NC4=O)cc3)CC2)C(F)(F)C1	WXMG_A14C302	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	2158	35	492.57	3.02	2	6	90.98	4	4	35
Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(CNC3CCOc4cc(F)ccc43)c21	WXMG_A18C146	3.5 WuXi OTS Library_Solid Stock_2685cpds_Molecule Glue Lib_260119.sdf	2166	32	438.46	2.07	2	7	94.36	4	5	32
C=CCN1CCC2(CC1)CC(NCc1cccnc1)c1ccccc1O2	Chemistry 1466	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	183	26	349.48	3.72	1	4	37.39	5	4	26
C=CCOC1CC2COCC(C1)N2	Chemistry 1260	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	232	13	183.25	0.71	1	3	30.49	3	2	13
C=CCN1C(=O)CC[C@]12CC[C@@H](NCc1cnn(C)c1)CC2	Chemistry 946	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	287	22	302.42	2.00	1	4	50.16	5	3	22
C=CCN1CCNCc2ccc(C)nc21	Chemistry 811	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	421	15	203.29	1.49	1	3	28.16	2	2	15
C=CCN1C(=O)CC[C@]12CC[C@@H](NCc1nccs1)CC2	Chemistry 1135	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	535	21	305.45	2.72	1	4	45.23	5	3	21
C=CCN1C(=O)CC[C@]12CC[C@@H](NCc1cccc(C#N)c1)CC2	Chemistry 1482	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	573	24	323.44	3.14	1	3	56.13	5	3	24
C=CCOC1CC2(CCNCC2)C1	Chemistry 639	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	647	13	181.28	1.72	1	2	21.26	3	2	13
C=CCn1c2c(ccc1=O)CC(NCc1ccc(OC)cc1)CC2	Chemistry 1781	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	656	24	324.42	2.69	1	4	43.26	6	3	24
C=C(C)C(=O)N1CC2(CC(NCCOC)CS2)C1	Chemistry 591	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	731	18	270.40	0.88	1	4	41.57	5	2	18
C=CCOC1CC2(CCNCC2)c2cc(C)ccc21	Chemistry 1972	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	749	19	257.38	3.26	1	2	21.26	3	3	19
C=CCOC1CC2CC1CN2	Chemistry 1741	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	750	11	153.22	0.94	1	2	21.26	3	2	11
C=CCOCC1NCCc2c1nnn2CC	Chemistry 558	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	786	16	222.29	0.69	1	5	51.97	5	2	16
C=CCn1c2c(ccc1=O)CC(NCc1ccc3c(c1)OCO3)CC2	Chemistry 637	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	796	25	338.41	2.41	1	5	52.49	5	4	25
C=CCOC1C2CCCC1CNC2	Chemistry 1210	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	862	13	181.28	1.58	1	2	21.26	3	2	13
C=CCn1c2c(ccc1=O)CC(NCc1cccc(C#N)c1)CC2	Chemistry 1142	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	892	24	319.41	2.55	1	4	57.82	5	3	24
C=CCOCC1NCCc2ncn(C(C)C)c21	Chemistry 1281	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	937	17	235.33	1.85	1	4	39.08	5	2	17
C=CCOC1CC2(CCNCC2)c2cc(F)ccc21	Chemistry 1786	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	1042	19	261.34	3.09	1	2	21.26	3	3	19
C=CCOC1CC2(CCNCC2)c2ccc(C)cc21	Chemistry 989	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	1085	19	257.38	3.26	1	2	21.26	3	3	19
C=CCN1CCNCc2cccnc21	Chemistry 1585	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	1136	14	189.26	1.18	1	3	28.16	2	2	14
C=CCN1CCC2(CC1)CC(NCc1ccc(C)s1)c1ccccc1O2	Chemistry 1606	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	1311	26	368.55	4.69	1	4	24.50	5	4	26
C=CCN1C(=O)CC[C@]12CCCN[C@H]2CC	Chemistry 550	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	1386	16	222.33	1.70	1	2	32.34	3	2	16
