smiles	fragId	HBD	HBA	cLogP	Heteroatoms	Rings	Rot. Bonds	Aromatic Bonds	Acidic Groups	Basic Groups	Atomic Polarizability	smiles_valid	smiles_error	excel_row
CC(=O)N1C2CCC1CC(O)(Cc1ccccc1)C2	C001	1	2	2.1335	3	3	2	6	0	0	44.866653	1		2
CC(=O)Nc1cc(S(N)(=O)=O)ccc1-n1cc(C)cn1	C002	2	5	0.78652	8	2	3	11	0	0	40.161102	1		3
CNC(=O)COc1ccc2c(C)c(C)c(=O)oc2c1C	C003	1	4	1.84306	5	2	3	11	0	0	42.043481	1		4
CC(=O)N1CCc2ccsc2C1c1cscn1	C004	0	4	2.6986	5	3	1	10	0	0	37.923516	1		5
CNC(=O)C1CCc2nnn(C3CCCC3)c2C1	C006	1	4	1.2441	5	3	2	5	0	0	41.41786	1		6
CC(=O)NC(C)c1cnc(C(F)(F)F)s1	C007	1	3	2.359	7	1	2	5	0	0	27.654137	1		7
CNC(=O)c1oc(C(C)(C)C)nc1C(F)F	C008	1	3	2.2693	6	1	2	5	0	0	31.853102	1		8
CCC1CN(C(C)=O)C(CC)CN1C(C)=O	C009	0	2	1.2542	4	1	2	0	0	0	39.593446	1		9
CNC(=O)Cc1c(C(F)(F)F)coc1C	C010	1	2	1.89532	6	1	2	5	0	0	26.88293	1		10
CNC(=O)C1(c2ccccc2C#N)CCC1	C011	1	2	1.72598	3	2	2	6	0	0	35.217102	1		11
CNC(=O)[C@@H]1OCCO[C@@H]1C(F)(F)F	C012	1	3	0.0786999999999997	7	1	1	0	0	0	24.16493	1		12
CC(=O)N1CCOC(Cn2cncn2)C1	C013	0	5	-0.474600000000001	6	2	2	5	0	0	31.179102	1		13
CC(=O)NCCc1cn2c(n1)CCC2	C014	1	3	0.5079	4	2	3	5	0	0	31.703895	1		14
CC(=O)NC1CC2CCC1N(C)C2	C015	1	2	0.6052	3	3	1	0	0	1	32.604274	1		15
CC(=O)Nc1ccc2c(c1)nc(C)n2C1(CO)CCC1	C017	2	4	2.17462	5	3	3	10	0	0	43.973067	1		16
CC(=O)Nc1ccc(F)cc1Cn1ccsc1=O	C018	1	4	2.0556	6	2	3	11	0	0	35.715723	1		17
CC(=O)N(C)C1CS(=O)(=O)C12CCOCC2	C020	0	4	-0.1891	6	2	1	0	0	0	36.143481	1		18
CNC(=O)c1sccc1NS(C)(=O)=O	C021	2	4	0.4792	7	1	3	5	0	0	29.39393	1		19
CNC(=O)C(C)(C)Oc1ccc(Cl)cc1	C022	1	2	2.2434	4	1	3	6	0	0	33.579102	1		20
CC(=O)N1CCCC2(CCCCO2)C1C#N	C023	0	3	1.46018	4	2	0	0	0	0	36.926274	1		21
CNC(=O)c1c(C)nn(CC(F)F)c1C	C024	1	3	1.12464	6	1	3	5	0	0	29.724309	1		22
CC(=O)NCc1nnc(C(C)(C)C)s1	C025	1	4	1.4717	5	1	2	5	0	0	32.843895	1		23
CC(=O)NC1c2cccc(F)c2OC1C	C026	1	2	1.7838	4	2	1	6	0	0	30.622516	1		24
CNC(=O)c1ccnc2nccnc12	C027	1	4	0.3844	5	2	1	11	0	0	26.376344	1		25
CC(=O)N1CCCCC1c1nnc(CC(F)(F)F)o1	C028	0	4	2.2479	8	2	2	5	0	0	35.270102	1		26
CNC(=O)C1CCN(Cc2ccccc2)CC1(F)F	C029	1	2	1.8898	5	2	3	6	0	1	40.758274	1		27
CC(=O)NC[C@@H]1C[C@@H](c2n[nH]c(=O)n2C)C[C@@H]1O	C030	3	5	-0.901	7	2	3	5	0	0	38.168274	1		28
CC(=O)NC1C2CC3CC1CC(NC(C)=O)(C3)C2	C031	2	2	1.2059	4	4	2	0	0	0	43.113446	1		29
CNS(=O)(=O)c1ccccc1CNC(C)=O	C032	2	3	0.2308	6	1	4	6	0	0	34.441102	1		30
CNC(=O)C1CC2(C)CCCN2S1(=O)=O	C033	1	3	-0.311	6	2	1	0	0	0	34.014688	1		31
CCNC(=O)CN1CCCN(C(C)=O)CC1	C034	1	3	-0.323299999999999	5	1	3	0	0	1	38.266653	1		32
CNC(=O)C(C)Cn1ccc2ccccc21	C035	1	2	2.0234	3	2	3	10	0	0	36.550688	1		33
CNC(=O)C12CCC(N(C)C)(CC1)CC2	C036	1	2	1.387	3	3	2	0	0	1	38.791446	1		34
CC(=O)NC1(CS(C)(=O)=O)COC1	C037	1	4	-1.0639	6	1	3	0	0	0	28.196309	1		35
CNC(=O)C(c1cncn1C)N(C)C	C038	1	4	-0.2312	5	1	3	5	0	1	31.710688	1		36
CC(=O)N1CCC2(CC1)CC2c1nnc(-c2cccc(F)c2)o1	C039	0	4	2.9917	6	4	2	11	0	0	47.383274	1		37
CC(=O)Nc1cc(C)n(Cn2nc(C(F)(F)F)cc2C)n1	C040	1	5	2.17944	9	2	3	10	0	0	38.428102	1		38
CNC(=O)C1(S(=O)(=O)c2ccc(C)cc2)CCCC1	C041	1	3	1.82752	5	2	3	6	0	0	43.715067	1		39
CC(=O)N1CCCC(N2C(=O)CC3(CCCC3)C2=O)C1	C042	0	3	1.3166	5	3	1	0	0	0	45.675446	1		40
CC(=O)NC(C)c1cnn(-c2ccc(C#N)cc2)c1C	C044	1	4	2.2495	5	2	3	11	0	0	42.270688	1		41
CC(=O)NCCC1CCN(C2CCN(C)CC2)CC1	C045	1	3	1.3188	4	2	4	0	0	2	49.838997	1		42
CNC(=O)C1C[S+]([O-])C2c3ccccc3C(=O)N12	C046	1	3	0.0178999999999995	6	3	1	6	0	0	36.627516	1		43
CC(=O)NCC(c1nnc2ccc(C)nn12)C(C)C	C048	1	5	1.30842	6	2	4	10	0	0	41.851067	1		44
COc1cc(C)cc2c(C)c(C(C)NC(C)=O)oc12	C049	1	3	3.25534	4	2	3	10	0	0	42.575067	1		45
CC(=O)NC1(c2ccnc(S(C)(=O)=O)n2)CC1	C050	1	5	0.0053	7	2	3	6	0	0	34.874309	1		46
CC(=O)Nc1cccc(C(O)CC(F)(F)F)c1	C051	2	2	2.6308	6	1	3	6	0	0	31.736516	1		47
CNC(=O)c1cc(-c2ccc3c(c2)CCO3)no1	C052	1	4	1.6361	5	3	2	11	0	0	35.487516	1		48
CC(=O)N1CCc2ccc(Cl)c(Cl)c2C1	C053	0	1	2.898	4	2	0	6	0	0	32.956723	1		49
COC1CN(C(C)=O)CC1NC(=O)NC(C)C	C054	2	3	-0.0602999999999991	6	1	3	0	0	0	39.068653	1		50
CC(=O)NCC(F)(F)c1[nH]nc2c1CCCC2	C055	2	2	1.5164	6	2	3	5	0	0	34.577895	1		51
CNC(=O)c1c[nH]nc1-c1cc2ccccc2o1	C056	2	3	2.1825	5	3	2	15	0	0	35.118723	1		52
CC(=O)NC[C@@H]1COC[C@H]1n1cc(CO)nn1	C057	2	6	-0.906	7	2	4	5	0	0	35.074688	1		53
CNC(=O)CC1(C(F)(F)F)CCC(=O)NC1	C058	2	2	0.5812	7	1	2	0	0	0	29.983309	1		54
CNC(=O)C12CC3(C)CC(C)(CC(O)(C3)C1)C2	C059	2	2	1.8439	3	4	1	0	0	0	42.680239	1		55
COC12CC3CC(CC(CNC(C)=O)(C3)C1)C2	C060	1	2	2.1079	3	4	3	0	0	0	42.680239	1		56
CNC(=O)C(C)S(=O)(=O)C1CCOCC1	C061	1	4	-0.2853	6	1	3	0	0	0	34.383481	1		57
CC(=O)N1CC2CC1C2c1ocnc1C(N)=O	C062	1	4	0.1077	6	4	2	5	0	0	33.734309	1		58
CNC(=O)[C@@H]1C[C@H]1c1nn(C)c2ccccc12	C063	1	3	1.4228	4	3	2	10	0	0	36.983895	1		59
CNC(=O)Cn1nc(C(F)F)c2c1CCC2	C064	1	3	1.0554	6	2	3	5	0	0	31.484309	1		60
CNC(=O)CNC(=O)c1cc(F)cc(F)c1	C065	2	2	0.4406	6	1	3	6	0	0	29.18593	1		61
CC(=O)N1[C@H](C(=O)N(C)C)C[C@@H]2OCC[C@@H]21	C066	0	3	-0.1471	5	2	1	0	0	0	35.968274	1		62
CNC(=O)C1CCC(OC(F)(F)F)CC1	C067	1	2	1.8276	6	1	2	0	0	0	29.550102	1		63
CC(=O)NC1CCN(C2CCCCC2)C1=O	C068	1	2	1.0561	4	2	2	0	0	0	38.25986	1		64
CC(=O)N1CC2CC1CC2(O)C(F)(F)F	C069	1	2	0.9205	6	2	0	0	0	0	28.216516	1		65
