smiles	catalog_id	fid	hasTertiaryAmine	nHBD	nHBA	cLogP	nHeteroAtoms	RingCount	nRotatableBonds	nAromaticBonds	nAcidicGroup	nBasicGroup	AtomicPolarizability	MolWt	TPSA	MaxTrainSimilarity	FpClusterId	PhysChemClusterId	Prom-0	Prom-1	Prom-2	Prom-0-0	Prom-1-0	Prom-2-0	Prom-0-1	Prom-1-1	Prom-2-1	Prom-0-2	Prom-1-2	Prom-2-2	Sign-0	Sign-1	Sign-2	Sign-3	Sign-4	Sign-5	Sign-6	Sign-7	Sign-8	Sign-9	smiles_valid	smiles_error	excel_row
C#CCCC1(CCC(=O)O)N=N1	Z1889707950		0	1	3	1,43	4	1	5	0	1	0	24,55	166,18	62,02	0,51	4	11	0,18	0,02	0,026	0,147	0,056	0,071	0,47	0,109	0,015	0,313	0,334	0,027	0,173	0,01	0,015	0,076	0,043	0,023	0,381	0,04	0,012	0,035	1		2
C#CCCC1(CCO)N=N1	Z1898593365		0	1	3	0,94	3	1	4	0	0	0	21,99	138,17	44,95	0,49	4	11	0,056	0,009	0,029	0,093	0,032	0,04	0,317	0,054	0,008	0,134	0,151	0,015	0,106	0,015	0,207	0,056	0,039	0,029	0,312	0,04	0,018	0,022	1		3
C#CCCC1(CCN)N=N1	Z2681245905		0	1	3	0,91	3	1	4	0	0	1	22,95	137,19	50,74	0,37	4	11	0,018	0,003	0,019	0,039	0,014	0,032	0,245	0,018	0,005	0,083	0,136	0,005	0,032	0,027	0,356	0,072	0,034	0,026	0,271	0,041	0,028	0,01	1		4
C#CCCC1(CCC(=O)N2CCN(Cc3cccc(F)c3)C(=O)C2)N=N1	Z2866902736		0	0	4	2,35	7	3	7	6	0	0	54	356,4	65,34	0,49	7	4	0,037	0,01	0,011	0,043	0,041	0,004	0,275	0,012	0,01	0,078	0,144	0,004	0	0,035	0,001	0,179	0,017	0,007	0,001	0,071	0,031	0,003	1		5
C#CCCC1(CCC(=O)N2CCN(Cc3cccc(C(F)(F)F)c3)CC2)N=N1	Z2866902740		1	0	4	3,71	8	3	7	6	0	1	57,41	392,43	48,27	0,51	7	9	0,586	0,195	0,082	0,582	0,222	0,032	0,854	0,412	0,104	0,922	0,918	0,167	0,002	0,02	0,151	0,079	0,034	0,001	0,007	0,067	0,029	0,06	1		6
C#CCCC1(CCC(=O)N2CCc3cc(OC)c(OC)cc3CC2)N=N1	Z2866902747		0	0	5	2,99	6	3	7	6	0	0	57,58	355,44	63,49	0,58	7	4	0,33	0,019	0,03	0,303	0,274	0,033	0,882	0,134	0,017	0,895	0,918	0,036	0	0,053	0,026	0,01	0,019	0,008	0,044	0,078	0,007	0,018	1		7
C#CCCC1(CCC(=O)N2CCCC(N3CCOCC3)C2)N=N1	Z2866902757		1	0	5	1,67	6	3	6	0	0	1	53,26	318,42	57,5	0,66	11	0	0,005	0,002	0,002	0,01	0,006	0,003	0,431	0,015	0,003	0,008	0,006	0,004	0	0,01	0,956	0,105	0,012	0,104	0,001	0,038	0,029	0	1		8
C#CCCC1(CCC(=O)N2CCN(c3ccccc3OCC)CC2)N=N1	Z2866902766		0	0	5	3,09	6	3	8	6	0	0	58,54	354,45	57,5	0,62	7	9	0,837	0,101	0,047	0,696	0,702	0,051	0,846	0,851	0,19	0,911	0,863	0,188	0,001	0,018	0,299	0,022	0,012	0,005	0,052	0,061	0,024	0,184	1		9
C#CCCC1(CCC(=O)N2CCC(Cc3ccccc3OC)CC2)N=N1	Z2866902773		0	0	4	3,83	5	3	8	6	0	0	59,87	353,47	54,26	0,59	11	9	0,578	0,097	0,032	0,464	0,431	0,029	0,947	0,384	0,073	0,975	0,842	0,203	0,001	0,034	0,361	0,015	0,009	0,004	0,028	0,05	0,007	0,002	1		10
C#CCCC1(CCC(=O)NCc2nnc3n2CCOCC3)N=N1	Z2866902789		0	1	7	0,82	8	3	7	5	0	0	47,94	316,37	93,76	0,56	6	3	0	0	0,002	0,028	0,009	0,014	0,011	0,001	0,003	0,005	0,001	0	0	0,06	0,083	0,075	0,02	0,114	0,001	0,058	0,033	0	1		11
C#CCCC1(CCC(=O)N2CCOC(Cn3ccnn3)C2)N=N1	Z2866902791		0	0	7	0,86	8	3	7	5	0	0	47,94	316,37	84,97	0,71	11	3	0,001	0,002	0,003	0,007	0,008	0,004	0,037	0,003	0,002	0,003	0,002	0,002	0	0,038	0,001	0,168	0,039	0,036	0,001	0,054	0,074	0,001	1		12
C#CCCC1(CCC(=O)N2CCN(Cc3ncon3)CC2)N=N1	Z2866902793		1	0	7	1,07	8	3	7	5	0	1	47,94	316,37	87,19	0,52	7	3	0,002	0,001	0,001	0,002	0,003	0,002	0,02	0,004	0,001	0,002	0,002	0,001	0	0,02	0,128	0,046	0,028	0,008	0,002	0,053	0,036	0,002	1		13
C#CCCC1(CCC(=O)N2CCN(Cc3cc(Cl)ccc3OC)CC2)N=N1	Z2866902797		1	0	5	3,35	7	3	8	6	0	1	60,05	388,9	57,5	0,52	7	2	0,591	0,024	0,037	0,32	0,386	0,03	0,722	0,477	0,015	0,681	0,864	0,032	0	0,012	0,466	0,021	0,012	0,004	0,003	0,081	0,026	0,205	1		14
C#CCCC1(CCC(=O)N2CCCC3(CCc4ccccc4O3)C2)N=N1	Z2866902803		0	0	4	3,73	5	4	5	6	0	0	58,53	351,45	54,26	0,59	7	9	0,8	0,495	0,068	0,807	0,705	0,249	0,966	0,774	0,331	0,982	0,921	0,412	0,003	0,041	0,006	0,022	0,024	0,013	0,06	0,046	0,027	0,001	1		15
C#CCCC1(CCC(=O)N2C3CCC2CC(Oc2ccccc2)C3)N=N1	Z2866902805		0	0	4	3,94	5	4	7	6	0	0	58,53	351,45	54,26	0,66	0	9	0,684	0,151	0,012	0,43	0,208	0,017	0,941	0,442	0,062	0,977	0,807	0,244	0,002	0,027	0,002	0,098	0,011	0,011	0,239	0,049	0,027	0,009	1		16
C#CCCC1(CCC(=O)Nc2ccc3c(c2)CCN3C(=O)c2cccnc2)N=N1	Z2866902812		0	1	5	3,58	7	4	7	12	0	0	59,83	387,44	87,02	0,53	10	1	0,134	0,038	0,005	0,574	0,364	0,055	0,503	0,084	0,088	0,409	0,152	0,03	0,011	0,186	0	0,028	0,027	0,008	0,001	0,087	0,029	0,008	1		17
C#CCCC1(CCC(=O)N2CCCC(Cn3cncn3)C2)N=N1	Z2866902817		0	0	6	1,87	7	3	7	5	0	0	50,23	314,39	75,74	0,69	11	13	0,004	0,003	0,002	0,005	0,013	0,008	0,132	0,006	0,005	0,026	0,006	0,002	0	0,025	0,08	0,157	0,061	0,007	0	0,051	0,116	0	1		18
C#CCCC1(CCC(=O)N2CCCC(n3ccnn3)CC2)N=N1	Z2866902819		0	0	6	2,19	7	3	6	5	0	0	50,23	314,39	75,74	0,52	11	13	0,001	0,001	0,001	0,005	0,007	0,004	0,151	0,001	0,003	0,023	0,001	0,001	0	0,095	0,269	0,091	0,014	0,009	0,001	0,035	0,071	0	1		19
C#CCCC1(CCC(=O)N2CC(CC(=O)N(C)C)c3cc(Cl)ccc32)N=N1	Z2866902823		0	0	4	3,6	7	3	7	6	0	0	58,72	386,88	65,34	0,47	1	9	0,262	0,182	0,069	0,424	0,185	0,043	0,33	0,132	0,182	0,358	0,573	0,06	0,003	0,025	0,001	0,065	0,018	0,028	0,017	0,065	0,025	0,028	1		20
C#CCCC1(CCC(=O)NC(C)c2cc3n(n2)CCCC3)N=N1	Z2866902832		0	1	5	2,75	6	3	7	5	0	0	51,56	313,41	71,64	0,52	4	4	0,072	0,052	0,019	0,07	0,032	0,01	0,469	0,019	0,09	0,095	0,079	0,05	0,008	0,081	0,05	0,043	0,011	0,017	0,006	0,05	0,045	0,011	1		21
C#CCCC1(CCC(=O)N2CCc3c(ncn(C)c3=O)C2)N=N1	Z2866902836		0	0	6	1,02	7	3	5	6	0	0	47,93	313,36	79,92	0,58	7	13	0,001	0	0	0,012	0,04	0,005	0,019	0,003	0	0,029	0,004	0	0	0,481	0,071	0,13	0,027	0,434	0	0,074	0,027	0	1		22
C#CCCC1(CCC(=O)Nc2cccc(-c3noc(C4CC4)n3)c2)N=N1	Z2866902840		0	1	6	3,91	7	4	8	11	0	0	53,21	349,39	92,74	0,51	10	1	0,489	0,124	0,155	0,398	0,162	0,048	0,768	0,296	0,143	0,804	0,557	0,314	0,35	0,084	0	0,003	0,02	0,002	0,086	0,072	0,053	0,035	1		23
C#CCCC1(CCC(=O)N2CCc3cc(OC)c(OC)c(OC)c3CC2)N=N1	Z2866902846		0	0	6	3	7	3	8	6	0	0	61,47	385,46	72,72	0,53	7	2	0,179	0,002	0,007	0,158	0,16	0,041	0,739	0,075	0,002	0,794	0,81	0,011	0	0,04	0,04	0,023	0,017	0,025	0,038	0,079	0,01	0,016	1		24
C#CCCC1(CCC(=O)N2CCN(c3ncccn3)CC2)N=N1	Z2866902847		0	0	6	1,48	7	3	6	6	0	0	48,9	312,38	74,05	0,64	7	13	0,05	0,002	0,001	0,044	0,073	0,003	0,165	0,099	0,002	0,114	0,012	0,002	0	0,146	0,511	0,139	0,018	0,006	0,002	0,049	0,036	0,009	1		25
C#CCCC1(CCC(=O)N2CCCC(c3cccnc3)C2)N=N1	Z2866902874		0	0	4	3,14	5	3	6	6	0	0	51,55	310,4	57,92	0,55	11	9	0,065	0,022	0,008	0,089	0,087	0,01	0,852	0,041	0,05	0,763	0,054	0,043	0,001	0,352	0,449	0,101	0,01	0,004	0,013	0,041	0,07	0,001	1		26
C#CCCC1(CCC(=O)N2CCCC(c3ccccn3)C2)N=N1	Z2866902877		0	0	4	3,14	5	3	6	6	0	0	51,55	310,4	57,92	0,59	11	9	0,097	0,031	0,01	0,141	0,082	0,009	0,891	0,069	0,066	0,857	0,067	0,059	0	0,244	0,433	0,079	0,009	0,005	0,051	0,039	0,066	0,001	1		27
C#CCCC1(CCC(=O)N2CCCC(c3ccncc3)C2)N=N1	Z2866902879		0	0	4	3,14	5	3	6	6	0	0	51,55	310,4	57,92	0,59	11	9	0,062	0,02	0,005	0,079	0,092	0,01	0,838	0,037	0,032	0,736	0,053	0,041	0,001	0,32	0,495	0,106	0,01	0,005	0,01	0,042	0,054	0,001	1		28
C#CCCC1(CCC(=O)N2CCN3CC(F)(F)C[C@H]3C2)N=N1	Z2866902884		1	0	4	1,89	7	3	5	0	0	1	46,05	310,35	48,27	0,53	13	0	0,028	0,002	0,002	0,015	0,002	0,003	0,265	0,002	0,002	0,039	0,102	0,001	0	0,015	0,08	0,098	0,021	0,001	0,017	0,04	0,009	0,027	1		29
C#CCCC1(CCC(=O)N2CCCC(C(=O)N3CCOCC3)C2)N=N1	Z2866902887		0	0	5	1,44	7	3	6	0	0	0	55,82	346,43	74,57	0,61	11	11	0,006	0,003	0,007	0,009	0,018	0,007	0,02	0,015	0,003	0,005	0,006	0,004	0	0,02	0,008	0,156	0,011	0,426	0,001	0,055	0,015	0,002	1		30
C#CCCC1(CCC(=O)N2CCC(C(=O)N3CCOCC3)CC2)N=N1	Z2866902889		0	0	5	1,44	7	3	6	0	0	0	55,82	346,43	74,57	0,62	13	11	0,003	0,001	0,004	0,009	0,018	0,003	0,012	0,015	0,001	0,005	0,003	0,003	0	0,019	0,013	0,121	0,011	0,423	0,001	0,057	0,011	0,005	1		31
C#CCCC1(CCC(=O)N2CCCCC2C(=O)N2CCOCC2)N=N1	Z2866902892		0	0	5	1,58	7	3	6	0	0	0	55,82	346,43	74,57	0,58	0	11	0,004	0,002	0,003	0,008	0,018	0,006	0,011	0,011	0,002	0,005	0,003	0,004	0	0,015	0,027	0,184	0,01	0,439	0,001	0,057	0,011	0,001	1		32
C#CCCC1(CCC(=O)NC2CCCOc3c(Cl)cccc32)N=N1	Z2866902900		0	1	4	4,03	6	3	6	6	0	0	52,1	345,83	63,05	0,6	9	9	0,652	0,117	0,049	0,349	0,388	0,137	0,893	0,633	0,106	0,92	0,85	0,219	0,003	0,009	0,03	0,014	0,01	0,106	0,103	0,051	0,006	0,027	1		33
C#CCCC1(CCC(=O)N2CCC(C(=O)NCC(F)(F)F)C2)N=N1	Z2866902917		0	1	4	1,87	9	2	7	0	0	0	46,74	344,34	74,13	0,59	11	11	0,003	0,007	0,003	0,031	0,003	0,024	0,086	0,003	0,007	0,06	0,032	0,007	0	0,016	0	0,17	0,03	0,007	0,006	0,041	0,025	0,044	1		34
C#CCCC1(CCC(=O)NC2CC3(CCN(C)CC3)Oc3ccccc32)N=N1	Z2866902920		1	1	5	3,45	6	4	6	6	0	1	63,39	380,49	66,29	0,53	9	9	0,286	0,103	0,043	0,583	0,417	0,26	0,867	0,478	0,177	0,894	0,487	0,059	0,005	0,042	0,659	0,036	0,011	0,044	0,002	0,042	0,013	0,003	1		35
C#CCCC1(CCC(=O)NC2(Cc3ccc(Cl)cc3)CCC2)N=N1	Z2866902930		0	1	3	4,28	5	3	8	6	0	0	54,39	343,86	53,82	0,69	4	9	0,454	0,353	0,154	0,362	0,28	0,076	0,911	0,401	0,167	0,847	0,824	0,525	0,014	0,006	0,01	0,016	0,019	0,001	0,812	0,045	0,093	0,116	1		36
C#CCCC1(CCC(=O)NC(C)c2nc(C3CCCCC3)no2)N=N1	Z2866902934		0	1	6	3,65	7	3	8	5	0	0	55,45	343,43	92,74	0,48	9	2	0,015	0,004	0,009	0,011	0,008	0,005	0,054	0,005	0,01	0,062	0,016	0,012	0,004	0,009	0,003	0,015	0,014	0,015	0,01	0,056	0,01	0,004	1		37
C#CCCC1(CCC(=O)N2CCC(Oc3cccc(F)c3)CC2)N=N1	Z2866902938		0	0	4	3,55	6	3	7	6	0	0	53,57	343,4	54,26	0,6	11	9	0,715	0,163	0,127	0,397	0,464	0,031	0,903	0,617	0,105	0,946	0,889	0,241	0,003	0,07	0,002	0,014	0,014	0,009	0,038	0,049	0,022	0,046	1		38
C#CCCC1(CCC(=O)N2CCCC(n3cc(C(=O)O)cn3)C2)N=N1	Z2866902947		0	1	6	2,1	8	3	7	5	1	0	51,83	343,39	100,15	0,57	11	13	0,03	0,065	0,012	0,05	0,11	0,035	0,218	0,016	0,056	0,064	0,039	0,027	0,018	0,113	0,002	0,174	0,06	0,014	0,001	0,045	0,057	0,007	1		39
C#CCCC1(CCC(=O)N2CCOC(c3ccccc3C(F)(F)F)C2)N=N1	Z2866902960		0	0	4	3,96	8	3	6	6	0	0	53,35	379,38	54,26	0,61	11	9	0,489	0,41	0,089	0,54	0,346	0,037	0,776	0,647	0,105	0,746	0,75	0,379	0,012	0,008	0,001	0,08	0,039	0,03	0,005	0,053	0,018	0,021	1		40
C#CCCC1(CCC(=O)N2CCOC(c3cccc(C(F)(F)F)c3)C2)N=N1	Z2866902966		0	0	4	3,96	8	3	6	6	0	0	53,35	379,38	54,26	0,6	11	9	0,582	0,47	0,13	0,657	0,304	0,032	0,846	0,639	0,11	0,838	0,854	0,418	0,008	0,016	0,001	0,037	0,06	0,007	0,012	0,053	0,072	0,017	1		41
C#CCCC1(CCC(=O)N2CCN(c3cccc(F)c3)C(=O)C2)N=N1	Z2866902973		0	0	4	2,36	7	3	6	6	0	0	50,91	342,37	65,34	0,53	7	4	0,165	0,031	0,016	0,094	0,162	0,009	0,274	0,052	0,041	0,108	0,153	0,014	0	0,064	0,001	0,054	0,016	0,009	0,002	0,055	0,041	0,036	1		42
C#CCCC1(CCC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)N=N1	Z2866902978		0	0	4	3,71	8	3	6	6	0	0	54,32	378,4	48,27	0,55	7	9	0,598	0,314	0,118	0,777	0,439	0,023	0,822	0,548	0,116	0,932	0,861	0,223	0,001	0,025	0,186	0,013	0,038	0	0,062	0,064	0,053	0,2	1		43
C#CCCC1(CCC(=O)NC2CCN(c3ccc(C(F)(F)F)cc3)C2)N=N1	Z2866902981		0	1	4	3,76	8	3	7	6	0	0	54,32	378,4	57,06	0,6	9	9	0,234	0,284	0,253	0,597	0,187	0,039	0,731	0,274	0,154	0,834	0,679	0,186	0,006	0,016	0,21	0,019	0,022	0	0,065	0,062	0,045	0,053	1		44
C#CCCC1(CCC(=O)N2CCCC2(C)Cc2ccccc2F)N=N1	Z2866902985		0	0	3	4,11	5	3	7	6	0	0	55,86	341,43	45,03	0,56	7	9	0,616	0,434	0,117	0,574	0,616	0,048	0,96	0,607	0,281	0,96	0,891	0,524	0,001	0,008	0,008	0,021	0,013	0,002	0,714	0,043	0,048	0,029	1		45
C#CCCC1(CCC(=O)N2CCOC(c3cccc(OC(F)F)c3)C2)N=N1	Z2866903017		0	0	5	3,54	8	3	8	6	0	0	54,26	377,39	63,49	0,63	11	2	0,626	0,092	0,015	0,481	0,218	0,017	0,867	0,529	0,012	0,885	0,889	0,25	0,001	0,031	0,001	0,048	0,088	0,011	0,035	0,077	0,053	0,025	1		46
C#CCCC1(CCC(=O)N2CC(Oc3nccs3)C2)N=N1	Z2866903026		0	0	6	2,09	7	3	7	5	0	0	44,21	304,38	67,15	0,55	11	13	0,355	0,022	0,002	0,322	0,07	0,034	0,652	0,48	0,012	0,456	0,334	0,094	0	0,023	0	0,049	0,034	0,013	0,019	0,042	0,059	0,011	1		47
C#CCCC1(CCC(=O)N2CCn3c(nnc3C(F)(F)F)C2)N=N1	Z2866903034		0	0	6	1,99	10	3	5	5	0	0	43,71	340,31	75,74	0,5	7	13	0,004	0,004	0,001	0,212	0,047	0,026	0,111	0,017	0,01	0,216	0,038	0,006	0,005	0,196	0,085	0,219	0,04	0,016	0,004	0,056	0,021	0,001	1		48
C#CCCC1(CCC(=O)NC(C(=O)O)c2ccnn2C)N=N1	Z2866903045		0	2	6	1,02	8	2	8	5	1	0	43,88	303,32	108,94	0,53	4	3	0,009	0,012	0,011	0,064	0,013	0,022	0,041	0,006	0,023	0,025	0,012	0,01	0,045	0,026	0,001	0,117	0,039	0,061	0,011	0,056	0,011	0,017	1		49
C#CCCC1(CCC(=O)N2CCC3(CCN(C)CC3)C2)N=N1	Z2866903078		1	0	4	2,29	5	3	5	0	0	1	52,46	302,42	48,27	0,62	13	0	0,003	0,001	0,004	0,031	0,011	0,03	0,45	0,007	0,003	0,02	0,013	0,002	0	0,004	0,986	0,088	0,014	0,009	0,003	0,028	0,008	0,001	1		50
C#CCCC1(CCC(=O)N2CCCC3(CCN(C)C3)C2)N=N1	Z2866903084		1	0	4	2,29	5	3	5	0	0	1	52,46	302,42	48,27	0,64	13	0	0,008	0,002	0,004	0,042	0,01	0,037	0,626	0,007	0,005	0,042	0,023	0,003	0	0,003	0,99	0,11	0,013	0,005	0,003	0,03	0,011	0	1		51
C#CCCC1(CCC(=O)N2CCC(C(N)=O)(c3ccccc3)C2)N=N1	Z2866903094		0	1	4	2	6	3	7	6	0	0	54,11	338,41	88,12	0,57	7	13	0,038	0,021	0,03	0,061	0,094	0,078	0,147	0,023	0,105	0,111	0,169	0,017	0,001	0,196	0	0,1	0,014	0,101	0,041	0,049	0,026	0,001	1		52
