smiles	catalog_id	found_in_enaminestore
C#CCCC1(CCC(=O)O)N=N1	Z1889707950	yes
C#CCCC1(CCO)N=N1	Z1898593365	yes
C#CCCC1(CCN)N=N1	Z2681245905	yes
C#CCCC1(CCC(=O)N2CCN(Cc3cccc(F)c3)C(=O)C2)N=N1	Z2866902736	yes
C#CCCC1(CCC(=O)N2CCN(Cc3cccc(C(F)(F)F)c3)CC2)N=N1	Z2866902740	yes
C#CCCC1(CCC(=O)N2CCc3cc(OC)c(OC)cc3CC2)N=N1	Z2866902747	yes
C#CCCC1(CCC(=O)N2CCCC(N3CCOCC3)C2)N=N1	Z2866902757	yes
C#CCCC1(CCC(=O)N2CCN(c3ccccc3OCC)CC2)N=N1	Z2866902766	yes
C#CCCC1(CCC(=O)N2CCC(Cc3ccccc3OC)CC2)N=N1	Z2866902773	yes
C#CCCC1(CCC(=O)NCc2nnc3n2CCOCC3)N=N1	Z2866902789	yes
C#CCCC1(CCC(=O)N2CCOC(Cn3ccnn3)C2)N=N1	Z2866902791	yes
C#CCCC1(CCC(=O)N2CCN(Cc3ncon3)CC2)N=N1	Z2866902793	yes
C#CCCC1(CCC(=O)N2CCN(Cc3cc(Cl)ccc3OC)CC2)N=N1	Z2866902797	yes
C#CCCC1(CCC(=O)N2CCCC3(CCc4ccccc4O3)C2)N=N1	Z2866902803	yes
C#CCCC1(CCC(=O)N2C3CCC2CC(Oc2ccccc2)C3)N=N1	Z2866902805	yes
C#CCCC1(CCC(=O)Nc2ccc3c(c2)CCN3C(=O)c2cccnc2)N=N1	Z2866902812	yes
C#CCCC1(CCC(=O)N2CCCC(Cn3cncn3)C2)N=N1	Z2866902817	yes
C#CCCC1(CCC(=O)N2CCCC(n3ccnn3)CC2)N=N1	Z2866902819	yes
C#CCCC1(CCC(=O)N2CC(CC(=O)N(C)C)c3cc(Cl)ccc32)N=N1	Z2866902823	yes
C#CCCC1(CCC(=O)NC(C)c2cc3n(n2)CCCC3)N=N1	Z2866902832	yes
C#CCCC1(CCC(=O)N2CCc3c(ncn(C)c3=O)C2)N=N1	Z2866902836	yes
C#CCCC1(CCC(=O)Nc2cccc(-c3noc(C4CC4)n3)c2)N=N1	Z2866902840	yes
C#CCCC1(CCC(=O)N2CCc3cc(OC)c(OC)c(OC)c3CC2)N=N1	Z2866902846	yes
C#CCCC1(CCC(=O)N2CCN(c3ncccn3)CC2)N=N1	Z2866902847	yes
C#CCCC1(CCC(=O)N2CCCC(c3cccnc3)C2)N=N1	Z2866902874	yes
C#CCCC1(CCC(=O)N2CCCC(c3ccccn3)C2)N=N1	Z2866902877	yes
C#CCCC1(CCC(=O)N2CCCC(c3ccncc3)C2)N=N1	Z2866902879	yes
C#CCCC1(CCC(=O)N2CCN3CC(F)(F)C[C@H]3C2)N=N1	Z2866902884	yes
C#CCCC1(CCC(=O)N2CCCC(C(=O)N3CCOCC3)C2)N=N1	Z2866902887	yes
C#CCCC1(CCC(=O)N2CCC(C(=O)N3CCOCC3)CC2)N=N1	Z2866902889	yes
C#CCCC1(CCC(=O)N2CCCCC2C(=O)N2CCOCC2)N=N1	Z2866902892	yes
C#CCCC1(CCC(=O)NC2CCCOc3c(Cl)cccc32)N=N1	Z2866902900	yes
C#CCCC1(CCC(=O)N2CCC(C(=O)NCC(F)(F)F)C2)N=N1	Z2866902917	yes
C#CCCC1(CCC(=O)NC2CC3(CCN(C)CC3)Oc3ccccc32)N=N1	Z2866902920	yes
C#CCCC1(CCC(=O)NC2(Cc3ccc(Cl)cc3)CCC2)N=N1	Z2866902930	yes
C#CCCC1(CCC(=O)NC(C)c2nc(C3CCCCC3)no2)N=N1	Z2866902934	yes
C#CCCC1(CCC(=O)N2CCC(Oc3cccc(F)c3)CC2)N=N1	Z2866902938	yes
C#CCCC1(CCC(=O)N2CCCC(n3cc(C(=O)O)cn3)C2)N=N1	Z2866902947	yes
C#CCCC1(CCC(=O)N2CCOC(c3ccccc3C(F)(F)F)C2)N=N1	Z2866902960	yes
C#CCCC1(CCC(=O)N2CCOC(c3cccc(C(F)(F)F)c3)C2)N=N1	Z2866902966	yes
C#CCCC1(CCC(=O)N2CCN(c3cccc(F)c3)C(=O)C2)N=N1	Z2866902973	yes
C#CCCC1(CCC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)N=N1	Z2866902978	yes
C#CCCC1(CCC(=O)NC2CCN(c3ccc(C(F)(F)F)cc3)C2)N=N1	Z2866902981	yes
C#CCCC1(CCC(=O)N2CCCC2(C)Cc2ccccc2F)N=N1	Z2866902985	yes
C#CCCC1(CCC(=O)N2CCOC(c3cccc(OC(F)F)c3)C2)N=N1	Z2866903017	yes
C#CCCC1(CCC(=O)N2CC(Oc3nccs3)C2)N=N1	Z2866903026	yes
C#CCCC1(CCC(=O)N2CCn3c(nnc3C(F)(F)F)C2)N=N1	Z2866903034	yes
C#CCCC1(CCC(=O)NC(C(=O)O)c2ccnn2C)N=N1	Z2866903045	yes
C#CCCC1(CCC(=O)N2CCC3(CCN(C)CC3)C2)N=N1	Z2866903078	yes
C#CCCC1(CCC(=O)N2CCCC3(CCN(C)C3)C2)N=N1	Z2866903084	yes
C#CCCC1(CCC(=O)N2CCC(C(N)=O)(c3ccccc3)C2)N=N1	Z2866903094	yes
C#CCCC1(CCC(=O)NC(C)c2ccc3c(c2)CCC(=O)N3)N=N1	Z2866903096	yes
C#CCCC1(CCC(=O)N2CCN(C(=O)c3c(F)cccc3F)CC2)N=N1	Z2866903114	yes
C#CCCC1(CCC(=O)NCc2cc3n(n2)CCCO3)N=N1	Z2866903116	yes
C#CCCC1(CCC(=O)N(C)Cc2oc3c(C)cccc3c2C)N=N1	Z2866903124	yes
C#CCCC1(CCC(=O)NCC2(c3cccc(Cl)c3)CCOCC2)N=N1	Z2866903130	yes
C#CCCC1(CCC(=O)N2CCCC2(C)Cc2ccc(C(F)F)cc2)N=N1	Z2866903134	yes
C#CCCC1(CCC(=O)NCc2cn(C3CCC3)nn2)N=N1	Z2866903137	yes
C#CCCC1(CCC(=O)N2CCC(n3ccnn3)CC2)N=N1	Z2866903143	yes
C#CCCC1(CCC(=O)N2CCC(c3ncco3)CC2)N=N1	Z2866903145	yes
C#CCCC1(CCC(=O)N2CCC3(C2)C(=O)Nc2ccccc23)N=N1	Z2866903161	yes
C#CCCC1(CCC(=O)N2CCN(Cc3cc(F)ccc3OC)CC2)N=N1	Z2866903174	yes
C#CCCC1(CCC(=O)N[C@@H]2C[C@H]2c2cnn(C)c2C)N=N1	Z2866903178	yes
C#CCCC1(CCC(=O)N2CC(c3ccccc3)C3(CCC3)C2)N=N1	Z2866903181	yes
C#CCCC1(CCC(=O)N2CCc3c2cccc3C(F)(F)F)N=N1	Z2866903187	yes
C#CCCC1(CCC(=O)Nc2ncn(CC(=O)N3CCCCCC3)n2)N=N1	Z2866903189	yes
C#CCCC1(CCC(=O)NC2CCN(c3nccn(CC)c3=O)CC2)N=N1	Z2866903203	yes
C#CCCC1(CCC(=O)NC2CCN(C(=O)c3ccccc3F)CC2)N=N1	Z2866903206	yes
C#CCCC1(CCC(=O)N2CCCC2c2ncccn2)N=N1	Z2866903211	yes
C#CCCC1(CCC(=O)NCc2ncc3c(n2)CCC3)N=N1	Z2866903215	yes
C#CCCC1(CCC(=O)N[C@@H]2C[C@H]2c2ccc(Cl)c(F)c2)N=N1	Z2866903218	yes
C#CCCC1(CCC(=O)Nc2cc3c(cc2Cl)OCCO3)N=N1	Z2866903225	yes
