smiles	fid	tert_amine	proj_x	proj_y	sign_0	sign_1	sign_2	sign_3	sign_4	sign_5	sign_6	sign_7	sign_8	sign_9	smiles_valid	smiles_error	excel_row
C#CCCC1(CCC(=O)N2C3CCC2CC(O)(Cc2ccccc2)C3)N=N1	C001	0	-4.228494	-7.2768726	0	0	0.0908071007992538	0.0071433501082125	0.0018683685454668	0	0.0606872254327806	0.0112063639750629	0.099257896920046	0	1		2
C#CCCC1(CCC(=O)Nc2cc(S(N)(=O)=O)ccc2-n2cc(C)cn2)N=N1	C002	0	6.280334	-2.06531	0.0643148318362978	0	0.042562741585474	0	0.947716829723154	0	0	0	0.591702943878617	0	1		3
C#CCCC1(CCNC(=O)COc2ccc3c(C)c(C)c(=O)oc3c2C)N=N1	C003	0	-5.7494226	-10.303439	0	0	0	0	0.147349802122814	0.041484077442057	0	0.185311303029063	0.0089387619830882	0.0252765854356196	1		4
C#CCCC1(CCC(=O)N2CCc3ccsc3C2c2cscn2)N=N1	C004	0	-5.8181086	15.65294	0	0.47987333600067	0.0739840600496182	0	0	0	0.048472056158657	0	0.529247674023719	0	1		5
C#CCCC1(CCNC(=O)C2CCc3nnn(C4CCCC4)c3C2)N=N1	C006	0	-3.118028	13.006585	0	0.402287214619506	0	0	0.0259627914200169	0	0	0	0.114154527048156	0	1		6
C#CCCC1(CCC(=O)NC(C)c2cnc(C(F)(F)F)s2)N=N1	C007	0	-6.2741857	-1.8173903	0.0597562155631063	0	0.0456841980502785	0.171288990139101	0	0	0.0995885373819118	0	0	0	1		7
C#CCCC1(CCNC(=O)c2oc(C(C)(C)C)nc2C(F)F)N=N1	C008	0	-1.1485933	-1.9886726	0.0198177775877657	0	0.407173365606504	0.0618825795794563	0	0	0.201676271430209	0.0182267505513823	0.227399126791284	0	1		8
C#CCCC1(CCC(=O)NC(C(=O)N2CCCCC2)C(C)C)N=N1	C009	0	-1.4809291	-3.6289868	0.0259241692381646	0	0.0040240063596148	0.11325437174789	0.0475442636847589	0	0.0616994668594192	0	0.139800161823178	0	1		9
C#CCCC1(CCNC(=O)Cc2c(C(F)(F)F)coc2C)N=N1	C010	0	-8.134253	-2.74197	0	0	0.152297449268151	0.0685900695786665	0	0.010142146507411	0.129127368865567	0	0.0121754279099277	0	1		10
C#CCCC1(CCNC(=O)C2(c3ccccc3C#N)CCC2)N=N1	C011	0	-12.937629	-0.67111266	0.0205079017985875	0.302996117450766	0.494821272406356	0.0879953590566633	0	0	0.408535657590739	0.0381241913324153	0.0459785863569493	0	1		11
C#CCCC1(CCNC(=O)[C@H]2OCCO[C@H]2C(F)(F)F)N=N1	C012	0	7.108925	-14.122762	0	0	0.577548334755597	0.01694957182847	0	0	0.0233458038886228	0	0.0408118094260135	0	1		12
C#CCCC1(CCC(=O)N2CCOC(Cn3cncn3)C2)N=N1	C013	0	7.243536	-0.54190254	0.0175108900409867	0.334666554615161	0	0	0.838051829430186	0	0.0603746763338359	0	0.304127114712396	0	1		13
C#CCCC1(CCC(=O)NCCc2cn3c(n2)CCC3)N=N1	C014	0	7.3191223	-13.863774	0.0078816619542381	0	0.580565122054578	0	0	0	0.0171568355142983	0	0.0046143982396399	0	1		14
C#CCCC1(CCC(=O)NC2CC3CCC2N(C)C3)N=N1	C015	1	6.358302	-13.67182	0.0801439158419715	0	0.514126915857983	0	0	0	0	0.0151954275061395	0.191131435624451	0	1		15
C#CCCC1(CCC(=O)Nc2ccc3c(c2)nc(C)n3C2(CO)CCC2)N=N1	C017	0	3.1389425	-6.8511367	0.218627192210609	0.0187313685084856	0	0	0	0	0	0	0.725652113652284	0.243012076297018	1		16
C#CCCC1(CCC(=O)Nc2ccc(F)cc2Cn2ccsc2=O)N=N1	C018	0	-8.050225	-11.309514	0	0.0979028497795648	0.162043031610648	0.0814660458441645	0.006263368334485	0.0160290994994948	0	0.439002101426832	0.0786293344297645	0	1		17
C#CCCC1(CCC(=O)N(C)C2CS(=O)(=O)C23CCOCC3)N=N1	C020	0	-1.1958343	2.6591218	0.0150203139548653	0	0	0.401624706864637	0	0	0	0	0	0	1		18
C#CCCC1(CCNC(=O)c2sccc2NS(C)(=O)=O)N=N1	C021	0	-3.4591825	-0.82140803	0	0.113283740453773	0.0715762565864531	0.189623377894506	0.0138259405781282	0.0128498621594703	0	0.0577697355104942	0	0	1		19
C#CCCC1(CCNC(=O)C(C)(C)Oc2ccc(Cl)cc2)N=N1	C022	0	7.1624646	13.897322	0.376925225788468	0	0.202803687936505	0	0.0063867483530377	0.0124382997869813	0.622112782088435	0	0	0	1		20
C#CCCC1(CCC(=O)N2CCCC3(CCCCO3)C2C#N)N=N1	C023	0	16.59331	0.522116	0	0.180873253261158	0.0442621189143868	0.087620168892835	0	0.431308609782495	0	0	0.184732992465439	0	1		21
C#CCCC1(CCNC(=O)c2c(C)nn(CC(F)F)c2C)N=N1	C024	0	-0.27415133	-11.481906	0	0.0171799116310223	0.29863782225264	0.306360961226345	0.0195923151974993	0	0	0.173629706849694	0.136658837044398	0	1		22
C#CCCC1(CCC(=O)NCc2nnc(C(C)(C)C)s2)N=N1	C025	0	2.0388103	-6.220949	0.0228264298309244	0	0.0368428525713931	0	0	0	0.0027002269302824	0	0.386097065671883	0	1		23
C#CCCC1(CCC(=O)NC2c3cccc(F)c3OC2C)N=N1	C026	0	-12.130467	-0.8347926	0.103468970298945	0	0.284471798366385	0.0979013721388121	0	0	0.381688466173744	0	0	0	1		24
C#CCCC1(CCNC(=O)c2ccnc3nccnc23)N=N1	C027	0	-10.593714	-2.1169288	0.101790354653486	0.0188599600278165	0	0.0111802255692247	0.253842607897025	0	0.18075888056953	0	0	0	1		25
C#CCCC1(CCC(=O)N2CCCCC2c2nnc(CC(F)(F)F)o2)N=N1	C028	0	2.1375365	-1.8900272	0	0	0	0.231109609090079	0	0	0	0	0.398224014878222	0	1		26
C#CCCC1(CCNC(=O)C2CCN(Cc3ccccc3)CC2(F)F)N=N1	C029	1	-5.6639423	-4.38969	0.0072984451872941	0	0.0308741286065424	0.0785668107797203	0.0025678186386803	0.0195298150660349	0	0.0448882652716926	0.0294927665070089	0	1		27
C#CCCC1(CCC(=O)NC[C@H]2C[C@H](c3n[nH]c(=O)n3C)C[C@H]2O)N=N1	C030	0	-4.8560157	4.930139	0	0	0	0.389966544882411	0	0.0398025213983688	0	0.611428458510618	0	0	1		28
C#CCCC1(CCC(=O)NC2C3CC4CC2CC(NC(C)=O)(C4)C3)N=N1	C031	0	-4.2889442	5.0649824	0	0	0	0.775180630003443	0	0	0	0.493055873262661	0	0	1		29
C#CCCC1(CCC(=O)NCc2ccccc2S(=O)(=O)NC)N=N1	C032	0	6.817694	-0.116863616	0	0	0	0.0223068676980892	0.970034206056791	0	0	0	0	0	1		30
C#CCCC1(CCNC(=O)C2CC3(C)CCCN3S2(=O)=O)N=N1	C033	0	-1.2901685	3.8722112	0	0	0.0245045312777925	0.443523117244714	0.0012382516503747	0	0	0.110254871535655	0	0	1		31
C#CCCC1(CCC(=O)N2CCCN(CC(=O)NCC)CC2)N=N1	C034	1	-4.408819	5.179257	0	0	0	0.490915965435486	0	0	0	0.576225934599112	0	0	1		32
