Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet
WXMG_A02C053	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(NCC3(F)CCCN(C(=O)OC(C)(C)C)C3)c21					0												
WXMG_A18C177	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(CNc3ccc4c(c3)N(C(=O)OC(C)(C)C)CC4)c21					0												
WXMG_A02C397	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(Nc3cnc4cccnn34)c21					0												
WXMG_A18C461	Cc1cn(-c2cc(NCc3cccc4c3n(C)c(=O)n4C3CCC(=O)NC3=O)cc(C(F)(F)F)c2)cn1					0												
WXMG_A02C388	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(NCc3c(F)ccc4c3CCO4)c21					0												
WXMG_A11C447	CCn1cc(Nc2cc(F)c(C3CCC(=O)NC3=O)c(F)c2)nn1					0												
WXMG_A04C045	Cn1c(=O)n(C)c2cc(Nc3ccc(C4CCC(=O)NC4=O)cc3)ccc21					0												
WXMG_A05C385	CCOC(=O)c1cn2cc(Nc3cccc4c(N5CCC(=O)NC5=O)nn(C)c34)ccc2n1					0												
WXMG_A02C482	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(NC3COc4ccccc4C3)c21					0												
WXMG_A05C013	Cc1cc(Nc2cccc3c(N4CCC(=O)NC4=O)nn(C)c23)n(-c2ccccc2)n1					0												
WXMG_A04C453	O=C1CCC(c2ccc(Nc3cnn(-c4ccccn4)c3)cc2)C(=O)N1					0												
WXMG_A04C156	O=C1CCC(c2ccc(NC3CC(=O)N(Cc4ccccc4)C3)cc2)C(=O)N1					0												
WXMG_A03C041	Cc1nc(-c2cccc(Nc3ccc4c(N5CCC(=O)NC5=O)nn(C)c4c3)c2)cs1					0												
WXMG_A09C482	Cc1nn(C2CCC(=O)NC2=O)c2cccc(N[C@@H]3COc4ccccc4C3)c12					0												
WXMG_A06C011	O=C1CCC(c2cccc(NC3CCN(c4ncccn4)C3)c2)C(=O)N1					0												
WXMG_A13D010	O=C1CCC(c2ccc(NCc3cccc4ncsc34)cc2)C(=O)N1					0												
WXMG_A04C121	CC(C)(C)OC(=O)N1CCc2ccc(Nc3ccc(C4CCC(=O)NC4=O)cc3)cc2C1					0												
WXMG_A04C136	CC(C)S(=O)(=O)c1ccccc1Nc1ccc(C2CCC(=O)NC2=O)cc1					0												
WXMG_A12C319	Cn1nc(N2CCC(=O)NC2=O)c2cc(F)c(N[C@]34CCC[C@H]3N(C(=O)OC(C)(C)C)CC4)cc21					0												
WXMG_A08C304	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cc(NC[C@@]34CCC[C@H]3CN(C(=O)OC(C)(C)C)C4)ccc21					0												
WXMG_A02C008	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(NCC3CCc4ccccc4O3)c21					0												
WXMG_A05C389	Cn1nc(N2CCC(=O)NC2=O)c2cccc(NCc3ccc(-n4cccn4)nc3)c21					0												
WXMG_A18C376	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(CNc3ccc(-n4nc(C(F)(F)F)cc4C(F)(F)F)cc3)c21					0												
WXMG_A11C093	O=C1CCC(c2c(F)cc(NCC3CCOCC3)cc2F)C(=O)N1					0												
WXMG_A06C376	O=C1CCC(c2cccc(Nc3ccc(-n4nc(C(F)(F)F)cc4C(F)(F)F)cc3)c2)C(=O)N1					0												
WXMG_A04C060	Cc1nn(C)c2cc(Nc3ccc(C4CCC(=O)NC4=O)cc3)ccc12					0												
WXMG_A06C050	O=C1CCC(c2cccc(NCC3Cc4ccccc4C3)c2)C(=O)N1					0												
WXMG_A04C410	O=C1CCC(c2ccc(Nc3cnn4cccnc34)cc2)C(=O)N1					0												
WXMG_A14C330	O=C1CCC(c2ccc(N3CCC(Nc4nc(-c5ccccn5)cs4)CC3)cc2)C(=O)N1					0												
WXMG_A04C230	CC(C)(C)OC(=O)N1CCN(c2ccc(Nc3ccc(C4CCC(=O)NC4=O)cc3)cn2)CC1					0												
WXMG_A18C230	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(CNc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)nc3)c21					0												
WXMG_A11C375	O=C1CCC(c2c(F)cc(NCc3ccn(-c4ccccc4)n3)cc2F)C(=O)N1					0												
WXMG_A17C052	CC(C)(C)OC(=O)N1CC2C(C1)C2Nc1ccc2nnn(C3CCC(=O)NC3=O)c(=O)c2c1					0												
WXMG_A13D041	Cn1nc(-c2ccccc2)cc1CNc1ccc(C2CCC(=O)NC2=O)cc1					0												
WXMG_A05C302	Cn1nc(N2CCC(=O)NC2=O)c2cccc(NC3CN(C(=O)OC(C)(C)C)CC3(F)F)c21					0												
WXMG_A17C146	O=C1CCC(n2nnc3ccc(NC4CCOc5cc(F)ccc54)cc3c2=O)C(=O)N1					0												
WXMG_A04C275	Cn1ncc2cccc(Nc3ccc(C4CCC(=O)NC4=O)cc3)c21					0												
WXMG_A12C389	Cn1nc(N2CCC(=O)NC2=O)c2cc(F)c(NCc3ccc(-n4cccn4)nc3)cc21					0												
WXMG_A04C177	CC(C)(C)OC(=O)N1CCc2ccc(Nc3ccc(C4CCC(=O)NC4=O)cc3)cc21					0												
