Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet	Category
RS20015945	Nc1ccc(Br)c2ccccc12	75303	LIUKLAQDPKYBCP-UHFFFAOYSA-N	4-bromonaphthalen-1-amine		3	paper	Europe PMC	"""4-bromonaphthalen-1-amine"""	exact_name	medium	The development of an effective synthetic route of lesinurad (RDEA594).	2017	29086884	https://doi.org/10.1186/s13065-017-0316-y	Meng Q, Zhao T, Kang D, Huang B, Zhan P, Liu X.	Chem Cent J		papers_only
RS20015945	Nc1ccc(Br)c2ccccc12	75303	LIUKLAQDPKYBCP-UHFFFAOYSA-N	4-bromonaphthalen-1-amine		3	paper	Europe PMC	"""4-bromonaphthalen-1-amine"""	exact_name	medium	Rational synthesis of an atomically precise carboncone under mild conditions.	2019	31467971	https://doi.org/10.1126/sciadv.aaw0982	Zhu ZZ, Chen ZC, Yao YR, Cui CH, Li SH, Zhao XJ, Zhang Q, Tian HR, Xu PY, Xie FF, Xie XM, Tan YZ, Deng SL, Quimby JM, Scott LT, Xie SY, Huang RB, Zheng LS.	Sci Adv		papers_only
RS20015945	Nc1ccc(Br)c2ccccc12	75303	LIUKLAQDPKYBCP-UHFFFAOYSA-N	4-bromonaphthalen-1-amine		3	paper	Europe PMC	"""4-bromonaphthalen-1-amine"""	exact_name	medium	Deaminative bromination, chlorination, and iodination of primary amines.	2023	36909668	https://doi.org/10.1016/j.isci.2023.106255	Xue JH, Li Y, Tan DH, Tu FH, Liu Y, Li Q, Wang H.	iScience		papers_only
WX150017	Nc1ncc(-c2ccccc2)s1	873119	LSLUWQIENURREM-UHFFFAOYSA-N	5-phenyl-1,3-thiazol-2-amine		1	paper	Europe PMC	"""5-phenyl-1,3-thiazol-2-amine"""	exact_name	medium	Synthesis and Pharmacological Evaluation of 1-Phenyl-3-Thiophenylurea Derivatives as Cannabinoid Type-1 Receptor Allosteric Modulators.	2019	31596583	https://doi.org/10.1021/acs.jmedchem.9b01161	Nguyen T, Gamage TF, Decker AM, Barrus D, Langston TL, Li JX, Li JX, Thomas BF, Zhang Y.	J Med Chem		papers_only
WX150018	Nc1nc(-c2ccccc2)cs1	40302	PYSJLPAOBIGQPK-UHFFFAOYSA-N	4-phenyl-1,3-thiazol-2-amine		4	paper	Europe PMC	"""4-phenyl-1,3-thiazol-2-amine"""	exact_name	medium	Molecular modeling studies, synthesis, and biological evaluation of Plasmodium falciparum enoyl-acyl carrier protein reductase (PfENR) inhibitors.	2009	19347595	https://doi.org/10.1007/s11030-009-9141-0	Morde VA, Shaikh MS, Pissurlenkar RR, Coutinho EC.	Mol Divers		papers_only
WX150018	Nc1nc(-c2ccccc2)cs1	40302	PYSJLPAOBIGQPK-UHFFFAOYSA-N	4-phenyl-1,3-thiazol-2-amine		4	paper	Europe PMC	"""PYSJLPAOBIGQPK-UHFFFAOYSA-N"""	exact_identifier	high	Novel acetamidothiazole derivatives: synthesis and in vitro anticancer evaluation.	2013	24125851	https://doi.org/10.1016/j.ejmech.2013.08.021	Ali AR, El-Bendary ER, Ghaly MA, Shehata IA.	Eur J Med Chem		papers_only
WX150018	Nc1nc(-c2ccccc2)cs1	40302	PYSJLPAOBIGQPK-UHFFFAOYSA-N	4-phenyl-1,3-thiazol-2-amine		4	paper	Europe PMC	"""4-phenyl-1,3-thiazol-2-amine"""	exact_name	medium	Synthesis and Evaluation of the 2-Aminothiazoles as Anti-Tubercular Agents.	2016	27171280	https://doi.org/10.1371/journal.pone.0155209	Kesicki EA, Bailey MA, Ovechkina Y, Early JV, Alling T, Bowman J, Zuniga ES, Dalai S, Kumar N, Masquelin T, Hipskind PA, Odingo JO, Parish T.	PLoS One		papers_only
WX150018	Nc1nc(-c2ccccc2)cs1	40302	PYSJLPAOBIGQPK-UHFFFAOYSA-N	4-phenyl-1,3-thiazol-2-amine		4	paper	Europe PMC	"""4-phenyl-1,3-thiazol-2-amine"""	exact_name	medium	Identification of Small Molecule Inhibitors against Mycobacteria in Activated Macrophages.	2022	36144572	https://doi.org/10.3390/molecules27185824	Vande Voorde R, Dzalamidze E, Nelson D, Danelishvili L.	Molecules		papers_only
WX602001	Nc1ccc2nsnc2c1	314313	JRJPKRSKPOCUEV-UHFFFAOYSA-N	2,1,3-benzothiadiazol-5-amine		1	paper	Europe PMC	"""2,1,3-benzothiadiazol-5-amine"""	exact_name	medium	A New Benzothiazolthiazolidine Derivative, 11726172, Is Active <i>In Vitro</i>, <i>In Vivo</i>, and against Nonreplicating Cells of Mycobacterium tuberculosis.	2022	36377880	https://doi.org/10.1128/msphere.00369-22	Salina EG, Postiglione U, Chiarelli LR, Recchia D, Záhorszká M, Lepioshkin A, Monakhova N, Pál A, Porta A, Zanoni G, Korduláková J, Kazakova E, Sassera D, Pasca MR, Makarov V, Degiacomi G.	mSphere		papers_only
WX602004	COC(=O)c1ccc(N)c([N+](=O)[O-])c1	3941008	HNTLUEZVPLRQEV-UHFFFAOYSA-N	methyl 4-amino-3-nitrobenzoate		1	paper	Europe PMC	"""methyl 4-amino-3-nitrobenzoate"""	exact_name	medium	Structure Activity Relationship Studies around <i>DB18</i>, a Potent and Selective Inhibitor of CLK Kinases.	2022	36234686	https://doi.org/10.3390/molecules27196149	Brahmaiah D, Bhavani AKD, Aparna P, Kumar NS, Solhi H, Le Guevel R, Baratte B, Robert T, Ruchaud S, Bach S, Jadav SS, Reddy CR, Mosset P, Gouault N, Levoin N, Grée R.	Molecules		papers_only
