Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet
WXMG_A10B019	O=C1CCC(n2ncc3cc(-c4cncc(F)c4)ccc32)C(=O)N1					0												
WXMG_A06B334	Cn1cnc2cc(-c3cccc(C4CCC(=O)NC4=O)c3)ccc21					0												
WXMG_A22C436	Cc1ccc(C(=O)NCc2cccc3cn(C)nc23)cc1N1CCC(=O)NC1=O					0												
WXMG_A12B036	CC(C)CNC(=O)c1ccc(-c2cc3c(cc2F)c(N2CCC(=O)NC2=O)nn3C)cc1					0												
WXMG_A24B116	CCOc1ccc(F)c(-c2ccc(N3CCC(=O)NC3=O)c3c2cnn3C)c1Cl					0												
WXMG_A06B089	O=C1CCC(c2cccc(-c3ccn[nH]3)c2)C(=O)N1					0												
WXMG_A10B015	COCCOc1ccc(-c2ccc3c(cnn3C3CCC(=O)NC3=O)c2)cc1					0												
WXMG_A02B300	COc1ccc(F)c(-c2cccc3c2n(C)c(=O)n3C2CCC(=O)NC2=O)c1					0												
WXMG_A06C100	O=C1CCC(c2cccc(N3CCn4nc(C(F)(F)F)nc4C3)c2)C(=O)N1					0												
WXMG_A08B133	CNC(=O)c1cccc(-c2ccc3c(c2)n(C2CCC(=O)NC2=O)c(=O)n3C)c1					0												
WXMG_A02C222	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(N3CCc4cccnc4C3)c21					0												
WXMG_A12B006	Cc1nnc(-c2ccc(-c3cc4c(cc3F)c(N3CCC(=O)NC3=O)nn4C)cc2)o1					0												
WXMG_A08B299	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cc(-c3ccc(S(C)(=O)=O)c(F)c3)ccc21					0												
WXMG_A01B106	CC(C)n1cc(-c2ccc3c(c2)n(C)c(=O)n3C2CCC(=O)NC2=O)ccc1=O					0												
WXMG_A10B132	O=C1CCC(n2ncc3cc(-c4cccc(N5CCCC5)c4)ccc32)C(=O)N1					0												
WXMG_A10B317	O=C1CCC(n2ncc3cc(-c4ccc(C5(CO)CC5)cc4)ccc32)C(=O)N1					0												
WXMG_A17B103	Cc1cc(-c2ccc3nnn(C4CCC(=O)NC4=O)c(=O)c3c2)n(C)n1					0												
