Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet	Category
RS20000564	COc1ccc(C(=O)O)c(OC)c1	7052	GPVDHNVGGIAOQT-UHFFFAOYSA-N	2,4-dimethoxybenzoic acid		5	paper	Europe PMC	"""2,4-dimethoxybenzoic acid"""	exact_name	medium	Allelopathic Potential of Rice and Identification of Published Allelochemicals by Cloud-Based Metabolomics Platform.	2020	32549240	https://doi.org/10.3390/metabo10060244	Ho TL, Nguyen TTC, Vu DC, Nguyen NY, Nguyen TTT, Phong TNH, Nguyen CT, Lin CH, Lei Z, Sumner LW, Le VV.	Metabolites		papers_only
RS20000564	COc1ccc(C(=O)O)c(OC)c1	7052	GPVDHNVGGIAOQT-UHFFFAOYSA-N	2,4-dimethoxybenzoic acid		5	paper	Europe PMC	"""2,4-dimethoxybenzoic acid"""	exact_name	medium	Thianthrene/TfOH-catalyzed electrophilic halogenations using <i>N</i>-halosuccinimides as the halogen source.	2024	39148788	https://doi.org/10.1039/d4sc04461d	Shi H, Zhang J, Li X, He J, Sun Y, Wu J, Du Y.	Chem Sci		papers_only
RS20000564	COc1ccc(C(=O)O)c(OC)c1	7052	GPVDHNVGGIAOQT-UHFFFAOYSA-N	2,4-dimethoxybenzoic acid		5	paper	Europe PMC	"""2,4-dimethoxybenzoic acid"""	exact_name	medium	Facile construction of distal and diversified tertiary and quaternary stereocenters.	2024	39665763	https://doi.org/10.1073/pnas.2408541121	Liu C, Ge R, Chen J, Guo H, Bartholome TA, Maiti D, Ge H.	Proc Natl Acad Sci U S A		papers_only
RS20000564	COc1ccc(C(=O)O)c(OC)c1	7052	GPVDHNVGGIAOQT-UHFFFAOYSA-N	2,4-dimethoxybenzoic acid		5	paper	Europe PMC	"""2,4-dimethoxybenzoic acid"""	exact_name	medium	Synthesis of Thiophenes from Pyridines Using Elemental Sulfur.	2025	40708408	https://doi.org/10.1002/anie.202512321	Liu Z, Greaney MF.	Angew Chem Int Ed Engl		papers_only
RS20000564	COc1ccc(C(=O)O)c(OC)c1	7052	GPVDHNVGGIAOQT-UHFFFAOYSA-N	2,4-dimethoxybenzoic acid		5	paper	Europe PMC	"""2,4-dimethoxybenzoic acid"""	exact_name	medium	Phytotoxicity in aqueous methanolic extracts of rice against junglerice and total activities of identified phytotoxic compounds	2022	IND607686659	https://doi.org/10.1111/aab.12746	Ho TL, Nguyen VL, Phan LK, Nguyen CT, Nguyen THD, Van VL, Reid SJ.	Ann Appl Biol		papers_only
RS20002834	Clc1cccnc1Cl	16988	MAKFMOSBBNKPMS-UHFFFAOYSA-N	2,3-dichloropyridine		5	paper	Europe PMC	"""2,3-dichloropyridine"""	exact_name	medium	Nature of the Nucleophilic Oxygenation Reagent Is Key to Acid-Free Gold-Catalyzed Conversion of Terminal and Internal Alkynes to 1,2-Dicarbonyls.	2020	31849233	https://doi.org/10.1021/acs.joc.9b02785	Dubovtsev AY, Shcherbakov NV, Dar'in DV, Kukushkin VY.	J Org Chem		papers_only
RS20002834	Clc1cccnc1Cl	16988	MAKFMOSBBNKPMS-UHFFFAOYSA-N	2,3-dichloropyridine		5	paper	Europe PMC	"""2,3-dichloropyridine"""	exact_name	medium	Oxygen Atom Transfer as Key To Reverse Regioselectivity in the Gold(I)-Catalyzed Generation of Aminooxazoles from Ynamides.	2021	33370118	https://doi.org/10.1021/acs.joc.0c02584	Zimin DP, Dar'in DV, Kukushkin VY, Dubovtsev AY.	J Org Chem		papers_only
RS20002834	Clc1cccnc1Cl	16988	MAKFMOSBBNKPMS-UHFFFAOYSA-N	2,3-dichloropyridine		5	paper	Europe PMC	"""2,3-dichloropyridine"""	exact_name	medium	Formal Synthesis of <i>Ortho</i>-Cyanated <i>N</i>-Heterocycles via Direct, Metal-Free Cyanation of <i>N</i>-Oxides Under Benign Conditions.	2026	41599325	https://doi.org/10.3390/molecules31020276	Xiao H, Wufuer R, Wang D.	Molecules		papers_only
RS20002834	Clc1cccnc1Cl	16988	MAKFMOSBBNKPMS-UHFFFAOYSA-N	2,3-dichloropyridine		5	paper	Europe PMC	"""2,3-dichloropyridine"""	exact_name	medium	Efficient Microwave-Assisted Palladium-Catalyzed Selective &lt;i&gt;N&lt;/i&gt;-Arylation of Anilines with 2,3-Dihalopyridines in Water.	2026	41828270	https://doi.org/10.3390/ma19051003	Hu HC, Chen CY, Yang SC.	Materials (Basel)		papers_only
RS20002834	Clc1cccnc1Cl	16988	MAKFMOSBBNKPMS-UHFFFAOYSA-N	2,3-dichloropyridine		5	paper	Europe PMC	"""2,3-dichloropyridine"""	exact_name	medium	Efficient Microwave-Assisted Palladium-Catalyzed Selective N-Arylation of Anilines with 2,3-Dihalopyridines in Water	2026	PMC12986283	https://europepmc.org/article/PMC/PMC12986283	Hu H, Chen C, Yang S.	Materials (Basel)		papers_only
