SMILES	Label	File	Index	NumAtoms	MW	logP	HBD	HBA	TPSA	RB	Rings	HeavyAtoms
C=CCn1c2c(ccc1=O)CC(N)CC2	Chemistry 361	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	2262	15	204.27	0.85	1	3	48.02	2	2	15
NCC(C(=O)N1CCC2(CCCN(C(=O)c3ccc(C#Cc4ccccc4)cc3)C2)C1)c1ccccc1	Chemistry 2545	3.6 WuXi OTS Library_Solid Stock_4518cpds_covalent_260119.sdf	3647	37	491.64	4.28	1	3	66.64	4	5	37
Cc1cncc(CN2CCC3(CC2)CC(N)C3)n1	WX101043_X12	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	110	18	246.36	1.49	1	4	55.04	2	3	18
NC1CCc2onc(CN3CC[C@@H](O)C3)c2C1	WX141617_AN0158ZZ0000	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	403	17	237.30	0.06	2	5	75.52	2	3	17
Cc1ccc2ncc(CN3CCC4(CC3)CC(N)C4)n2c1	WX101043_X14	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	465	21	284.41	2.35	1	4	46.56	2	4	21
NCC1Cn2nnc(-c3cccc(F)c3)c2CO1	WX190026_Y31	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	1231	18	248.26	0.94	1	5	65.96	2	3	18
NCC1Cn2nnc(-c3ccccc3)c2CO1	WX190026_Y36	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	1242	17	230.27	0.80	1	5	65.96	2	3	17
CN(C)C(=O)CN1C(=O)CCC12CCC(N)CC2	WX100106_Y08	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	1271	18	253.35	0.34	1	3	66.64	2	2	18
NC1CCc2c(ccc(=O)n2CCN2CCCC2=O)C1	WX140263_Y13	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	1328	20	275.35	0.29	1	4	68.33	3	3	20
COCCn1c2c(ccc1=O)CC(N)CC2	WX140263_Y06	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	1394	16	222.29	0.31	1	4	57.25	3	2	16
N[C@]12CC1CN(C(=O)c1ccco1)C2	WX110036_Y15	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	1502	14	192.22	0.45	1	3	59.47	1	3	14
N=C(N)c1ccc(N2CCOCC2)cc1	WX690072	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	1777	15	205.26	0.81	2	3	62.34	2	2	15
CC(C)(C)OC(=O)N1C[C@@H]2[C@H](CN)CO[C@@H]2C1	WX110661	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	2554	17	242.32	0.83	1	4	64.79	1	2	17
CC(C)(C)OC(=O)N1CCCn2c(CN)nnc2C1	WX140089	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	2632	19	267.33	0.88	1	6	86.27	1	2	19
CC(C)(C)OC(=O)N1C[C@H]2CC[C@H](CN)[C@H]2C1	WX110044	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	2747	17	240.35	1.84	1	3	55.56	1	2	17
CC(C)(C)OC(=O)N1C[C@H]2C[C@H](CN)O[C@H]2C1	WX110546	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	3238	17	242.32	0.97	1	4	64.79	1	2	17
CC(C)(C)OC(=O)N1C[C@@H](N)[C@H](O)C1	WX604220	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	3774	14	202.25	-0.07	2	4	75.79	0	1	14
CC(C)(C)OC(=O)N1CCCC1/C(N)=N\O	WX684418	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	3775	16	229.28	1.13	2	4	88.15	1	1	16
CS(=O)(=O)NCc1noc2c1CC(N)CC2	WX141618_HU0024ZZ0000	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	5094	16	245.30	-0.46	2	5	98.22	3	2	16
NC1CCc2onc(C(=O)N3CCCC3)c2C1	WX141616_AN0008ZZ0000	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	7922	17	235.29	0.73	1	4	72.36	1	3	17
CC(C)(C)OC(=O)N1CC[C@]2(C1)C[C@@H](N)C2	WX101513	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	10057	16	226.32	1.73	1	3	55.56	0	2	16
NC12CCN(C(=O)OCc3ccccc3)C1CC(=O)N2	WX111709	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	10128	20	275.31	0.57	2	4	84.66	2	3	20
CC(C)(C)OC(=O)N1CC[C@@H](O)[C@H](N)C1	WX601147	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	10171	15	216.28	0.32	2	4	75.79	0	1	15
NC[C@@H]1[C@H]2CN(c3ccncn3)C[C@@H]12	WX110030_A175	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	10238	14	190.25	0.12	1	4	55.04	2	3	14
CCOC(=O)CC1(N)CCN(C(=O)OC(C)(C)C)C1	WX665219	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	10374	19	272.34	1.28	1	5	81.86	3	1	19
CC(C)(C)OC(=O)N1CCC(/C(N)=N/O)CC1	WX690178	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	10375	17	243.31	1.38	2	4	88.15	1	1	17
CC(C)(C)OC(=O)N1CCC(F)(CN)CC1	WXFS0318	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	10377	16	232.30	1.68	1	3	55.56	1	1	16
CC(C)(C)OC(=O)N1C[C@H](N)[C@H]2OCC[C@H]21	WX111702	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	10438	16	228.29	0.72	1	4	64.79	0	2	16
CC(C)(C)OC(=O)N1CCC(CN)(C(F)(F)F)C1	WX601534	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	10556	18	268.28	2.13	1	3	55.56	1	1	18
CC(C)(C)OC(=O)N1C[C@H]2CC[C@@H](N)[C@H]2C1	WX110042	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	10627	16	226.32	1.59	1	3	55.56	0	2	16
CC1(CN)CN(C(=O)OC(C)(C)C)C1	WX601293	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	10943	14	200.28	1.20	1	3	55.56	1	1	14
CC(C)(C)OC(=O)N1CC2(C1)OCCC2N	WX101828	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	11271	16	228.29	0.72	1	4	64.79	0	2	16
CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1C[C@@H](N)C2	WX120567	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	11287	16	226.32	1.88	1	3	55.56	0	2	16
CC1(CN)CCCN(C(=O)OC(C)(C)C)CC1	WX601131	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	11301	17	242.36	2.37	1	3	55.56	1	1	17
CC1(CN)CCCCN(C(=O)OC(C)(C)C)C1	WX601341	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	11304	17	242.36	2.37	1	3	55.56	1	1	17
CC(C)(C)OC(=O)N1CCC(N)CC1	WX604185	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	11305	14	200.28	1.34	1	3	55.56	0	1	14
CC1(N)CCN(C(=O)OC(C)(C)C)CC1	WX604560	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	11420	15	214.31	1.73	1	3	55.56	0	1	15
CC(C)(C)OC(=O)N1CCC2(CC(N)C2)C1	WX100330	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	11753	16	226.32	1.73	1	3	55.56	0	2	16
CC(C)(C)OC(=O)NC12CCC(N)(CC1)CC2	WX601547	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	11789	17	240.35	2.32	2	3	64.35	1	3	17
N/C(Cc1ccsc1)=N/O	WX690163	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	12084	10	156.21	1.04	2	3	58.61	2	1	10
NCc1ccc(OCC(F)(F)F)nc1	WX603191	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	12149	14	206.17	1.48	1	3	48.14	3	1	14
CC(C)(C)OC(=O)N1CCC2(CC1)CC(N)CO2	WX100056	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	12432	18	256.35	1.50	1	4	64.79	0	2	18
CC(C)(C)OC(=O)N1C[C@H]2CCC[C@@H](N)[C@H]2C1	WX110058	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	12633	17	240.35	1.98	1	3	55.56	0	2	17
CC(C)(C)OC(=O)N1C[C@H](F)C[C@H]1CN	WX601253	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	12735	15	218.27	1.29	1	3	55.56	1	1	15
CC(C)(C)OC(=O)N1CC(O)(CCN)C1	WX600105	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	13593	15	216.28	0.32	2	4	75.79	2	1	15
CC(C)(N)Cc1ccc2ccccc2c1	WX600114	WuXi OTS Library_Solid Stock_135989cpds_260119.sdf	13594	15	199.30	3.12	1	1	26.02	2	2	15
