Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet
Chemistry 361	C=CCn1c2c(ccc1=O)CC(N)CC2	131278365	KQNSAFCGRQPIQU-UHFFFAOYSA-N	6-amino-1-prop-2-enyl-5,6,7,8-tetrahydroquinolin-2-one		0												
Chemistry 2545	NCC(C(=O)N1CCC2(CCCN(C(=O)c3ccc(C#Cc4ccccc4)cc3)C2)C1)c1ccccc1	171705985	XIBKZTUGHDYRSO-UHFFFAOYSA-N	3-amino-2-phenyl-1-[9-[4-(2-phenylethynyl)benzoyl]-2,9-diazaspiro[4.5]decan-2-yl]propan-1-one		0												
WX101043_X12	Cc1cncc(CN2CCC3(CC2)CC(N)C3)n1	155874827	YUEFGWIYHBNWMJ-UHFFFAOYSA-N	7-[(6-methylpyrazin-2-yl)methyl]-7-azaspiro[3.5]nonan-2-amine		0												
WX141617_AN0158ZZ0000	NC1CCc2onc(CN3CC[C@@H](O)C3)c2C1	155876541	BRAONHBMBIZVHG-YGPZHTELSA-N	(3R)-1-[(5-amino-4,5,6,7-tetrahydro-1,2-benzoxazol-3-yl)methyl]pyrrolidin-3-ol		0												
WX684418	CC(C)(C)OC(=O)N1CCCC1/C(N)=N\O				GET JSON failed: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/CC%28C%29%28C%29OC%28%3DO%29N1CCCC1%2FC%28N%29%3DN%5CO/property/CanonicalSMILES,InChIKey,IUPACName/JSON: HTTP Error 400: PUGREST.BadRequest	0												
WX101043_X14	Cc1ccc2ncc(CN3CCC4(CC3)CC(N)C4)n2c1	155875119	DYNKKUBIZCIFNN-UHFFFAOYSA-N	7-[(6-methylimidazo[1,2-a]pyridin-3-yl)methyl]-7-azaspiro[3.5]nonan-2-amine		0												
WX690178	CC(C)(C)OC(=O)N1CCC(/C(N)=N/O)CC1				GET JSON failed: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/CC%28C%29%28C%29OC%28%3DO%29N1CCC%28%2FC%28N%29%3DN%2FO%29CC1/property/CanonicalSMILES,InChIKey,IUPACName/JSON: HTTP Error 400: PUGREST.BadRequest	0												
WX190026_Y31	NCC1Cn2nnc(-c3cccc(F)c3)c2CO1	118739738	RFPOGZWGYCHLCS-UHFFFAOYSA-N	[3-(3-fluorophenyl)-6,7-dihydro-4H-triazolo[5,1-c][1,4]oxazin-6-yl]methanamine		0												
WX690163	N/C(Cc1ccsc1)=N/O				GET JSON failed: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/N%2FC%28Cc1ccsc1%29%3DN%2FO/property/CanonicalSMILES,InChIKey,IUPACName/JSON: HTTP Error 400: PUGREST.BadRequest	0												
WX190026_Y36	NCC1Cn2nnc(-c3ccccc3)c2CO1	121229689	PHZULVIGYJNFLP-UHFFFAOYSA-N	(3-phenyl-6,7-dihydro-4H-triazolo[5,1-c][1,4]oxazin-6-yl)methanamine		0												
