Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet	Category
RS20004881	CC(C)(C)OC(=O)N1CCCC(N)C1	545809	AKQXKEBCONUWCL-UHFFFAOYSA-N	tert-butyl 3-aminopiperidine-1-carboxylate		5	paper	Europe PMC	"""tert-butyl 3-aminopiperidine-1-carboxylate"""	exact_name	medium	Structure-Activity Relationship Study of Covalent Pan-phosphatidylinositol 5-Phosphate 4-Kinase Inhibitors.	2020	32184968	https://doi.org/10.1021/acsmedchemlett.9b00402	Manz TD, Sivakumaren SC, Yasgar A, Hall MD, Davis MI, Seo HS, Card JD, Ficarro SB, Shim H, Marto JA, Dhe-Paganon S, Sasaki AT, Boxer MB, Simeonov A, Cantley LC, Shen M, Zhang T, Ferguson FM, Gray NS.	ACS Med Chem Lett		papers_only
RS20004881	CC(C)(C)OC(=O)N1CCCC(N)C1	545809	AKQXKEBCONUWCL-UHFFFAOYSA-N	tert-butyl 3-aminopiperidine-1-carboxylate		5	paper	Europe PMC	"""tert-butyl 3-aminopiperidine-1-carboxylate"""	exact_name	medium	Synthesis, radiolabeling, and evaluation of 68Ga-labeled aminoquinoxaline derivative as a potent PFKFB3-targeted PET tracer.	2023	37035116	https://doi.org/10.3389/fchem.2023.1158503	Chen F, Wu Y, Ma Y, Yin H, Su F, Huang R, Wu X, Liu Q.	Front Chem		papers_only
RS20004881	CC(C)(C)OC(=O)N1CCCC(N)C1	545809	AKQXKEBCONUWCL-UHFFFAOYSA-N	tert-butyl 3-aminopiperidine-1-carboxylate		5	paper	Europe PMC	"""tert-butyl 3-aminopiperidine-1-carboxylate"""	exact_name	medium	2,8-Disubstituted-1,5-naphthyridines as Dual Inhibitors of &lt;i&gt;Plasmodium falciparum&lt;/i&gt; Phosphatidylinositol-4-kinase and Hemozoin Formation with &lt;i&gt;In Vivo&lt;/i&gt; Efficacy.	2024	38918002	https://doi.org/10.1021/acs.jmedchem.4c01154	Dziwornu GA, Seanego D, Fienberg S, Clements M, Ferreira J, Sypu VS, Samanta S, Bhana AD, Korkor CM, Garnie LF, Teixeira N, Wicht KJ, Taylor D, Olckers R, Njoroge M, Gibhard L, Salomane N, Wittlin S, Mahato R, Chakraborty A, Sevilleno N, Coyle R, Lee MCS, Godoy LC, Pasaje CF, Niles JC, Reader J, van der Watt M, Birkholtz LM, Bolscher JM, de Bruijni MHC, Coulson LB, Basarab GS, Ghorpade SR, Chibale K, Chibale K.	J Med Chem		papers_only
RS20004881	CC(C)(C)OC(=O)N1CCCC(N)C1	545809	AKQXKEBCONUWCL-UHFFFAOYSA-N	tert-butyl 3-aminopiperidine-1-carboxylate		5	paper	Europe PMC	"""tert-butyl 3-aminopiperidine-1-carboxylate"""	exact_name	medium	PRODUCTION METHOD OF TERT-BUTYL 3-AMINOPIPERIDINE-1-CARBOXYLATE AND INTERMEDIATE THEREOF	2009	JP2009286778	https://europepmc.org/article/PAT/JP2009286778	YASUOKA JUNICHI, IKEMOTO TETSUYA.	PAT		papers_only
RS20004881	CC(C)(C)OC(=O)N1CCCC(N)C1	545809	AKQXKEBCONUWCL-UHFFFAOYSA-N	tert-butyl 3-aminopiperidine-1-carboxylate		5	paper	Europe PMC	"""tert-butyl 3-aminopiperidine-1-carboxylate"""	exact_name	medium	METHOD FOR THE PRODUCTION OF TERT-BUTYL 3-AMINOPIPERIDINE-1-CARBOXYLATE, AND INTERMEDIATES THEREOF	2009	WO2009133778	https://europepmc.org/article/PAT/WO2009133778	YASUOKA JUNICHI, IKEMOTO TETSUYA.	PAT		papers_only
RS20011682	NC(CCc1ccccc1)C(=O)O	102530	JTTHKOPSMAVJFE-UHFFFAOYSA-N	2-amino-4-phenylbutanoic acid		5	paper	Europe PMC	"""2-amino-4-phenylbutanoic acid"""	exact_name	medium	Enantioselective synthesis of (S)-2-amino-4-phenylbutanoic acid by the hydantoinase method.	2003	12923807	https://doi.org/10.1002/chir.10281	Lo HH, Kao CH, Lee DS, Yang TK, Hsu WH.	Chirality		papers_only
RS20011682	NC(CCc1ccccc1)C(=O)O	102530	JTTHKOPSMAVJFE-UHFFFAOYSA-N	2-amino-4-phenylbutanoic acid		5	paper	Europe PMC	"""2-amino-4-phenylbutanoic acid"""	exact_name	medium	mGluR7 undergoes rapid internalization in response to activation by the allosteric agonist AMN082.	2007	16914173	https://doi.org/10.1016/j.neuropharm.2006.07.020	Pelkey KA, Yuan X, Lavezzari G, Roche KW, McBain CJ.	Neuropharmacology		papers_only
RS20011682	NC(CCc1ccccc1)C(=O)O	102530	JTTHKOPSMAVJFE-UHFFFAOYSA-N	2-amino-4-phenylbutanoic acid		5	paper	Europe PMC	"""2-amino-4-phenylbutanoic acid"""	exact_name	medium	Characterization of impurities in the bulk drug lisinopril by liquid chromatography/ion trap spectrometry.	2008	18500778	https://doi.org/10.1631/jzus.b0820031	Zhu PX, Wang DH, Sun CR, Shen ZQ.	J Zhejiang Univ Sci B		papers_only
RS20011682	NC(CCc1ccccc1)C(=O)O	102530	JTTHKOPSMAVJFE-UHFFFAOYSA-N	2-amino-4-phenylbutanoic acid		5	paper	Europe PMC	"""2-amino-4-phenylbutanoic acid"""	exact_name	medium	Synthesis and biological evaluation of analogues of Pro-Leu-Gly-NH2 modified at the leucyl residue.	1990	1971310	https://doi.org/10.1021/jm00168a045	Johnson RL, Bontems RJ, Yang KE, Mishra RK.	J Med Chem		papers_only
RS20011682	NC(CCc1ccccc1)C(=O)O	102530	JTTHKOPSMAVJFE-UHFFFAOYSA-N	2-amino-4-phenylbutanoic acid		5	paper	Europe PMC	"""2-amino-4-phenylbutanoic acid"""	exact_name	medium	Cyclic peptides. XIII. Asymmetric synthesis of aromatic L-alpha-amino acids through hydrogenation of cyclic dehydrodipeptides.	1983	6826278	https://pubmed.ncbi.nlm.nih.gov/6826278/	Hashimoto Y, Aoyagi H, Waki M, Kato T, Izumiya N.	Int J Pept Protein Res		papers_only
