Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet	Category
AK1768_BT0007	COc1ccc(-c2ccc3c(CCN)c[nH]c3c2)cc1	75366098	BQQACQHIFAOWRY-UHFFFAOYSA-N	2-[6-(4-methoxyphenyl)-1H-indol-3-yl]ethanamine		0													not_found
AK1768_BT0021	COc1cccc(-c2ccc3c(CCN)c[nH]c3c2)c1	75366095	DRRHILLACIIIPY-UHFFFAOYSA-N	2-[6-(3-methoxyphenyl)-1H-indol-3-yl]ethanamine		0													not_found
AK1946_BT0021	COc1cccc(-c2ccc3[nH]cc(CCN)c3c2)c1	75366093	WUHZSKKKDBICGI-UHFFFAOYSA-N	2-[5-(3-methoxyphenyl)-1H-indol-3-yl]ethanamine		0													not_found
Chemistry 2545	NCC(C(=O)N1CCC2(CCCN(C(=O)c3ccc(C#Cc4ccccc4)cc3)C2)C1)c1ccccc1	171705985	XIBKZTUGHDYRSO-UHFFFAOYSA-N	3-amino-2-phenyl-1-[9-[4-(2-phenylethynyl)benzoyl]-2,9-diazaspiro[4.5]decan-2-yl]propan-1-one		0													not_found
Chemistry 361	C=CCn1c2c(ccc1=O)CC(N)CC2	131278365	KQNSAFCGRQPIQU-UHFFFAOYSA-N	6-amino-1-prop-2-enyl-5,6,7,8-tetrahydroquinolin-2-one		0													not_found
LN00199670_BT0253	NC1(c2ccc(-c3cncnc3)cc2)CCC1	172894916	CZVWKRWRRGAXIO-UHFFFAOYSA-N	1-(4-pyrimidin-5-ylphenyl)cyclobutan-1-amine		0													not_found
LN00199670_BT0257	NC1(c2ccc(-c3cncn3C3CCCCO3)cc2)CCC1	172895953	SNZZPISAGLJDGW-UHFFFAOYSA-N	1-[4-[3-(oxan-2-yl)imidazol-4-yl]phenyl]cyclobutan-1-amine		0													not_found
LN00199670_BT0321	CCNC(=O)Nc1ccc(-c2ccc(C3(N)CCC3)cc2)cc1	172894621	FWICUGRAVFVFHS-UHFFFAOYSA-N	1-[4-[4-(1-aminocyclobutyl)phenyl]phenyl]-3-ethylurea		0													not_found
LN00199670_BT0325	NC1(c2ccc(-c3ccc4c(c3)COC4=O)cc2)CCC1	172895257	WIILCMCLDSOTGQ-UHFFFAOYSA-N	5-[4-(1-aminocyclobutyl)phenyl]-3H-2-benzofuran-1-one		0													not_found
LN00199670_BT0369	NC1(c2ccc(-c3cccc4ncnn34)cc2)CCC1	172894930	HHPDVGNNIUOKRJ-UHFFFAOYSA-N	1-[4-([1,2,4]triazolo[1,5-a]pyridin-5-yl)phenyl]cyclobutan-1-amine		0													not_found
LN00199670_BT0424	NC1(c2ccc(-c3ccccn3)cc2)CCC1	172895852	IWUQAKZSXMXKPL-UHFFFAOYSA-N	1-(4-pyridin-2-ylphenyl)cyclobutan-1-amine		0													not_found
LN00199670_BT0492	CC(C)(CO)Cn1cc(-c2ccc(C3(N)CCC3)cc2)cn1	172895005	WXSVTNHDLWQXBA-UHFFFAOYSA-N	3-[4-[4-(1-aminocyclobutyl)phenyl]pyrazol-1-yl]-2,2-dimethylpropan-1-ol		0													not_found
LN00199670_BT0545	COc1ncncc1-c1ccc(C2(N)CCC2)cc1	172894729	RMPPCYQPCCURPW-UHFFFAOYSA-N	1-[4-(4-methoxypyrimidin-5-yl)phenyl]cyclobutan-1-amine		0													not_found
LN00199670_BT1880	Cc1cc(-c2ccc(C3(N)CCC3)cc2)n[nH]1	172895895	NCCYAFDDGYCHDU-UHFFFAOYSA-N	1-[4-(5-methyl-1H-pyrazol-3-yl)phenyl]cyclobutan-1-amine		0													not_found
LN00244457_BT0167	CC(C)(C)NS(=O)(=O)c1ccc(-c2ccc(CN)cn2)cc1F	172895186	HDMPGVVPURTLEF-UHFFFAOYSA-N	4-[5-(aminomethyl)-2-pyridinyl]-N-tert-butyl-2-fluorobenzenesulfonamide		0													not_found
LN00244457_BT0263	NCc1ccc(-c2cc(F)c(F)c(N3CCOCC3)c2)nc1	172895357	AOZAADUDAYJZOV-UHFFFAOYSA-N	[6-(3,4-difluoro-5-morpholin-4-ylphenyl)-3-pyridinyl]methanamine		0													not_found
LN00244457_BT0480	COCCN1CCc2cc(-c3ccc(CN)cn3)ccc21	172895956	NFCJMRZHAAARMM-UHFFFAOYSA-N	[6-[1-(2-methoxyethyl)-2,3-dihydroindol-5-yl]-3-pyridinyl]methanamine		0													not_found
LN00244457_BT0510	Cc1cc2cccc(-c3ccc(CN)cn3)c2[nH]1	172895049	SDPGBLIDYGYLQP-UHFFFAOYSA-N	[6-(2-methyl-1H-indol-7-yl)-3-pyridinyl]methanamine		0													not_found
LN00244457_BT0513	NCc1ccc(-c2cccc(C3CC3)c2)nc1	172895350	VNULGCLGPQHOEN-UHFFFAOYSA-N	[6-(3-cyclopropylphenyl)-3-pyridinyl]methanamine		0													not_found
LN00244457_BT2647	Cc1nn(C)c2cc(-c3ccc(CN)cn3)ccc12	172895386	DDXGXBRPACVAMS-UHFFFAOYSA-N	[6-(1,3-dimethylindazol-6-yl)-3-pyridinyl]methanamine		0													not_found
LN00244457_BT3592	NCc1ccc(-c2cccc3ccoc23)nc1	172895136	XOLSOPIBCLDIMC-UHFFFAOYSA-N	[6-(1-benzofuran-7-yl)-3-pyridinyl]methanamine		0													not_found
LN00244457_BT4099	NCc1ccc(-c2ccc(C(=O)Nc3ccc(F)cc3)cc2)nc1	172895145	KQAODBAOWNXUCM-UHFFFAOYSA-N	4-[5-(aminomethyl)-2-pyridinyl]-N-(4-fluorophenyl)benzamide		0													not_found
LN00244457_BT4652	NCc1ccc(-c2cccc(C(=O)Nc3cccc(F)c3)c2)nc1	172895372	SHDFCKNDKPGASH-UHFFFAOYSA-N	3-[5-(aminomethyl)-2-pyridinyl]-N-(3-fluorophenyl)benzamide		0													not_found
LN00244457_BT5139	Cc1cc(-c2ccc(CN)cn2)cc2cnn(C)c12	172895295	SXTLDGPMEYANAB-UHFFFAOYSA-N	[6-(1,7-dimethylindazol-5-yl)-3-pyridinyl]methanamine		0													not_found
LN00244457_BT5768	NCc1ccc(-c2cccc3sccc23)nc1	172898772	VTJDORJAODPZJF-UHFFFAOYSA-N	[6-(1-benzothiophen-4-yl)-3-pyridinyl]methanamine		0													not_found
LN00338518_BT0243	C[C@@H](N)c1ccc(-c2ccc3ncsc3c2)cc1	172895307	SZGLGOMBTBDYTE-SNVBAGLBSA-N	(1R)-1-[4-(1,3-benzothiazol-6-yl)phenyl]ethanamine		0													not_found
LN00338518_BT0325	C[C@@H](N)c1ccc(-c2ccc3c(c2)COC3=O)cc1	172895243	XTEKVMNJFLCINL-SNVBAGLBSA-N	5-[4-[(1R)-1-aminoethyl]phenyl]-3H-2-benzofuran-1-one		0													not_found
LN00338518_BT0365	CC(=O)Nc1cc(-c2ccc([C@@H](C)N)cc2)ccc1F	172895992	GCUSSBJTFDOPNT-SNVBAGLBSA-N	N-[5-[4-[(1R)-1-aminoethyl]phenyl]-2-fluorophenyl]acetamide		0													not_found
LN00338518_BT0895	C[C@@H](N)c1ccc(-c2ccncc2C#N)cc1	172894990	RJQQBSHJQAMKGP-SNVBAGLBSA-N	4-[4-[(1R)-1-aminoethyl]phenyl]pyridine-3-carbonitrile		0													not_found
LN00338518_BT0922	C[C@@H](N)c1ccc(-c2ccc(F)cn2)cc1	172896053	ODKBJTVYVDVJNI-SECBINFHSA-N	(1R)-1-[4-(5-fluoro-2-pyridinyl)phenyl]ethanamine		0													not_found
LN00338518_BT2567	COc1nccc(C)c1-c1ccc([C@@H](C)N)cc1	172894861	OCTYLLDZSQFJAW-LLVKDONJSA-N	(1R)-1-[4-(2-methoxy-4-methyl-3-pyridinyl)phenyl]ethanamine		0													not_found
