Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet	Category
WUXI03-01_Y001RZ36	O=C(Oc1ccccc1)N1CC2(CCNCC2)C1	97528494	GTLAIHOTJMMRAB-UHFFFAOYSA-N	phenyl 2,7-diazaspiro[3.5]nonane-2-carboxylate		2	paper	Europe PMC	"""phenyl 2,7-diazaspiro[3.5]nonane-2-carboxylate"""	exact_name	medium	Synthesis, Computational Insights, and Evaluation of Novel Sigma Receptors Ligands.	2023	37155827	https://doi.org/10.1021/acschemneuro.3c00074	Dichiara M, Ambrosio FA, Barbaraci C, González-Cano R, Costa G, Parenti C, Marrazzo A, Pasquinucci L, Cobos EJ, Alcaro S, Amata E.	ACS Chem Neurosci		papers_only
WUXI03-01_Y001RZ36	O=C(Oc1ccccc1)N1CC2(CCNCC2)C1	97528494	GTLAIHOTJMMRAB-UHFFFAOYSA-N	phenyl 2,7-diazaspiro[3.5]nonane-2-carboxylate		2	paper	Europe PMC	"""phenyl 2,7-diazaspiro[3.5]nonane-2-carboxylate"""	exact_name	medium	Discovery of ZLC491 as a Potent, Selective, and Orally Bioavailable CDK12/13 PROTAC Degrader.	2024	39388374	https://doi.org/10.1021/acs.jmedchem.4c01596	Zhou L, Zhou K, Chang Y, Yang J, Fan B, Su Y, Li Z, Mannan R, Mahapatra S, Ding M, Zhou F, Huang W, Ren X, Xu J, Wang GX, Zhang J, Wang Z, Chinnaiyan AM, Ding K.	J Med Chem		papers_only
WUXI03-01_Y001Z36	O=C(Oc1ccccc1)N1CCC2(CC1)CNC2	97407963	NWZYFAMOSUZOSE-UHFFFAOYSA-N	phenyl 2,7-diazaspiro[3.5]nonane-7-carboxylate		1	paper	Europe PMC	"""phenyl 2,7-diazaspiro[3.5]nonane-7-carboxylate"""	exact_name	medium	A Novel Brain PET Radiotracer for Imaging Alpha Synuclein Fibrils in Multiple System Atrophy.	2023	37651366	https://doi.org/10.1021/acs.jmedchem.3c00779	Kim HY, Chia WK, Hsieh CJ, Saturnino Guarino D, Graham TJA, Lengyel-Zhand Z, Schneider M, Tomita C, Lougee MG, Kim HJ, Pagar VV, Lee H, Hou C, Garcia BA, Petersson EJ, O'Shea J, Kotzbauer PT, Mathis CA, Lee VM, Luk KC, Mach RH.	J Med Chem		papers_only
WUXI03-01_Y003RZ35	COC(=O)N1CCC2(CCNCC2)C1	83699514	FGCRPIYICNRHMY-UHFFFAOYSA-N	methyl 2,8-diazaspiro[4.5]decane-2-carboxylate		1	paper	Europe PMC	"""methyl 2,8-diazaspiro[4.5]decane-2-carboxylate"""	exact_name	medium	Design, synthesis and evaluation of heteroaryldihydropyrimidine analogues bearing spiro ring as hepatitis B virus capsid protein inhibitors.	2021	34438123	https://doi.org/10.1016/j.ejmech.2021.113780	Ma Y, Zhao S, Ren Y, Cherukupalli S, Li Q, Woodson ME, Bradley DP, Tavis JE, Liu X, Zhan P.	Eur J Med Chem		papers_only
WUXI03-01_Y003RZ36	O=C(Oc1ccccc1)N1CCC2(CCNCC2)C1	97407964	HWSQEKYPRDDZDC-UHFFFAOYSA-N	phenyl 2,8-diazaspiro[4.5]decane-2-carboxylate		2	paper	Europe PMC	"""phenyl 2,8-diazaspiro[4.5]decane-2-carboxylate"""	exact_name	medium	A Novel Brain PET Radiotracer for Imaging Alpha Synuclein Fibrils in Multiple System Atrophy.	2023	37651366	https://doi.org/10.1021/acs.jmedchem.3c00779	Kim HY, Chia WK, Hsieh CJ, Saturnino Guarino D, Graham TJA, Lengyel-Zhand Z, Schneider M, Tomita C, Lougee MG, Kim HJ, Pagar VV, Lee H, Hou C, Garcia BA, Petersson EJ, O'Shea J, Kotzbauer PT, Mathis CA, Lee VM, Luk KC, Mach RH.	J Med Chem		papers_only
WUXI03-01_Y003RZ36	O=C(Oc1ccccc1)N1CCC2(CCNCC2)C1	97407964	HWSQEKYPRDDZDC-UHFFFAOYSA-N	phenyl 2,8-diazaspiro[4.5]decane-2-carboxylate		2	paper	Europe PMC	"""phenyl 2,8-diazaspiro[4.5]decane-2-carboxylate"""	exact_name	medium	Discovery of ZLC491 as a Potent, Selective, and Orally Bioavailable CDK12/13 PROTAC Degrader.	2024	39388374	https://doi.org/10.1021/acs.jmedchem.4c01596	Zhou L, Zhou K, Chang Y, Yang J, Fan B, Su Y, Li Z, Mannan R, Mahapatra S, Ding M, Zhou F, Huang W, Ren X, Xu J, Wang GX, Zhang J, Wang Z, Chinnaiyan AM, Ding K.	J Med Chem		papers_only
WUXI03-02_Y011Z53	COC(=O)N1CCC2(CCNCC2)CC1	73013924	LGVWUDVZXPVUMU-UHFFFAOYSA-N	methyl 3,9-diazaspiro[5.5]undecane-3-carboxylate		1	paper	Europe PMC	"""methyl 3,9-diazaspiro[5.5]undecane-3-carboxylate"""	exact_name	medium	Design, synthesis and evaluation of heteroaryldihydropyrimidine analogues bearing spiro ring as hepatitis B virus capsid protein inhibitors.	2021	34438123	https://doi.org/10.1016/j.ejmech.2021.113780	Ma Y, Zhao S, Ren Y, Cherukupalli S, Li Q, Woodson ME, Bradley DP, Tavis JE, Liu X, Zhan P.	Eur J Med Chem		papers_only
WUXI03-02_Y011Z55	O=C(Oc1ccccc1)N1CCC2(CCNCC2)CC1	97407969	DAMFSMGVIRDBLD-UHFFFAOYSA-N	phenyl 3,9-diazaspiro[5.5]undecane-3-carboxylate		2	paper	Europe PMC	"""phenyl 3,9-diazaspiro[5.5]undecane-3-carboxylate"""	exact_name	medium	A Novel Brain PET Radiotracer for Imaging Alpha Synuclein Fibrils in Multiple System Atrophy.	2023	37651366	https://doi.org/10.1021/acs.jmedchem.3c00779	Kim HY, Chia WK, Hsieh CJ, Saturnino Guarino D, Graham TJA, Lengyel-Zhand Z, Schneider M, Tomita C, Lougee MG, Kim HJ, Pagar VV, Lee H, Hou C, Garcia BA, Petersson EJ, O'Shea J, Kotzbauer PT, Mathis CA, Lee VM, Luk KC, Mach RH.	J Med Chem		papers_only
WUXI03-02_Y011Z55	O=C(Oc1ccccc1)N1CCC2(CCNCC2)CC1	97407969	DAMFSMGVIRDBLD-UHFFFAOYSA-N	phenyl 3,9-diazaspiro[5.5]undecane-3-carboxylate		2	paper	Europe PMC	"""phenyl 3,9-diazaspiro[5.5]undecane-3-carboxylate"""	exact_name	medium	Discovery of ZLC491 as a Potent, Selective, and Orally Bioavailable CDK12/13 PROTAC Degrader.	2024	39388374	https://doi.org/10.1021/acs.jmedchem.4c01596	Zhou L, Zhou K, Chang Y, Yang J, Fan B, Su Y, Li Z, Mannan R, Mahapatra S, Ding M, Zhou F, Huang W, Ren X, Xu J, Wang GX, Zhang J, Wang Z, Chinnaiyan AM, Ding K.	J Med Chem		papers_only
WX100001	CC(C)(C)OC(=O)N1CC2(CNC2)C1	40151981	KVOUHLVOTMOJBS-UHFFFAOYSA-N	tert-butyl 2,6-diazaspiro[3.3]heptane-2-carboxylate		5	paper	Europe PMC	"""tert-butyl 2,6-diazaspiro[3.3]heptane-2-carboxylate"""	exact_name	medium	Identification of Transthyretin Tetramer Kinetic Stabilizers That Are Capable of Inhibiting the Retinol-Dependent Retinol Binding Protein 4-Transthyretin Interaction: Potential Novel Therapeutics for Macular Degeneration, Transthyretin Amyloidosis, and Their Common Age-Related Comorbidities.	2021	34138572	https://doi.org/10.1021/acs.jmedchem.1c00099	Cioffi CL, Raja A, Muthuraman P, Jayaraman A, Jayakumar S, Varadi A, Racz B, Petrukhin K.	J Med Chem		papers_only
