Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet
WXMG_A18C097	CC(NCc1cccc2c1n(C)c(=O)n2C1CCC(=O)NC1=O)C1CCCN(C(=O)OC(C)(C)C)C1					0												
WXMG_A18C413	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(CNC3CCOc4ccc(Cl)cc43)c21					0												
WXMG_A18C405	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(CNC3COC4(CCN(C(=O)OC(C)(C)C)CC4)C3)c21					0												
WXMG_A18C396	C[C@H](NCc1cccc2c1n(C)c(=O)n2C1CCC(=O)NC1=O)C1CCN(C(=O)OC(C)(C)C)CC1					0												
WXMG_A14C339	CC(C)(C)OC(=O)N1CC(F)(F)C[C@@H]1CNC1CCN(c2ccc(C3CCC(=O)NC3=O)cc2)CC1					0												
WXMG_A14C302	CC(C)(C)OC(=O)N1CC(NC2CCN(c3ccc(C4CCC(=O)NC4=O)cc3)CC2)C(F)(F)C1					0												
WXMG_A18C146	Cn1c(=O)n(C2CCC(=O)NC2=O)c2cccc(CNC3CCOc4cc(F)ccc43)c21					0												
Chemistry 1466	C=CCN1CCC2(CC1)CC(NCc1cccnc1)c1ccccc1O2	131656380	YEIHZUGOZFDDNC-UHFFFAOYSA-N	1'-prop-2-enyl-N-(pyridin-3-ylmethyl)spiro[3,4-dihydrochromene-2,4'-piperidine]-4-amine		0												
Chemistry 1260	C=CCOC1CC2COCC(C1)N2	131655983	UVGRUQBEDUSHBF-UHFFFAOYSA-N	7-prop-2-enoxy-3-oxa-9-azabicyclo[3.3.1]nonane		0												
Chemistry 946	C=CCN1C(=O)CC[C@]12CC[C@@H](NCc1cnn(C)c1)CC2	97397438	ZENORWGZECHYSH-UHFFFAOYSA-N	8-[(1-methylpyrazol-4-yl)methylamino]-1-prop-2-enyl-1-azaspiro[4.5]decan-2-one		0												
Chemistry 811	C=CCN1CCNCc2ccc(C)nc21	97469147	QDDQQYSYKYABQV-UHFFFAOYSA-N	8-methyl-1-prop-2-enyl-2,3,4,5-tetrahydropyrido[2,3-e][1,4]diazepine		0												
Chemistry 1135	C=CCN1C(=O)CC[C@]12CC[C@@H](NCc1nccs1)CC2	97494229	ZIHYUXQLUVYQCW-UHFFFAOYSA-N	1-prop-2-enyl-8-(1,3-thiazol-2-ylmethylamino)-1-azaspiro[4.5]decan-2-one		0												
Chemistry 2273	C#Cc1cccc(NC(=O)C2CC3(CC(NCc4cc5ccncc5[nH]4)C3)C2)c1					0												
Chemistry 3922	C#Cc1ccc(C(=O)NC2CC3(CC(NCc4cc5ccoc5cn4)C3)C2)cc1					0												
Chemistry 1482	C=CCN1C(=O)CC[C@]12CC[C@@H](NCc1cccc(C#N)c1)CC2	97494230	HCABYJOSMAHVBL-UHFFFAOYSA-N	3-[[(2-oxo-1-prop-2-enyl-1-azaspiro[4.5]decan-8-yl)amino]methyl]benzonitrile		0												
Chemistry 1781	C=CCn1c2c(ccc1=O)CC(NCc1ccc(OC)cc1)CC2	131657768	MTQKMVFJGRUOPI-UHFFFAOYSA-N	6-[(4-methoxyphenyl)methylamino]-1-prop-2-enyl-5,6,7,8-tetrahydroquinolin-2-one		0												
Chemistry 1972	C=CCOC1CC2(CCNCC2)c2cc(C)ccc21	131646268	UBMHGFYXPQULSA-UHFFFAOYSA-N	5-methyl-1-prop-2-enoxyspiro[1,2-dihydroindene-3,4'-piperidine]		0												
Chemistry 591	C=C(C)C(=O)N1CC2(CC(NCCOC)CS2)C1	155877804	IEAPMVWNHVBZPA-UHFFFAOYSA-N	1-[7-(2-methoxyethylamino)-5-thia-2-azaspiro[3.4]octan-2-yl]-2-methylprop-2-en-1-one		0												
Chemistry 1741	C=CCOC1CC2CC1CN2	131649511	SAXADPCPMHLURO-UHFFFAOYSA-N	5-prop-2-enoxy-2-azabicyclo[2.2.1]heptane		0												
Chemistry 639	C=CCOC1CC2(CCNCC2)C1	97493498	PKCQPTSDONBFME-UHFFFAOYSA-N	2-prop-2-enoxy-7-azaspiro[3.5]nonane		0												
Chemistry 558	C=CCOCC1NCCc2c1nnn2CC	131638155	WAOCFAVJNDLPOZ-UHFFFAOYSA-N	1-ethyl-4-(prop-2-enoxymethyl)-4,5,6,7-tetrahydrotriazolo[4,5-c]pyridine		0												
Chemistry 637	C=CCn1c2c(ccc1=O)CC(NCc1ccc3c(c1)OCO3)CC2	131644257	NHLHGZDBRCHXAU-UHFFFAOYSA-N	6-(1,3-benzodioxol-5-ylmethylamino)-1-prop-2-enyl-5,6,7,8-tetrahydroquinolin-2-one		0												
Chemistry 1210	C=CCOC1C2CCCC1CNC2	131646992	ICFBMXVBJNZTEI-UHFFFAOYSA-N	9-prop-2-enoxy-3-azabicyclo[3.3.1]nonane		0												
Chemistry 1281	C=CCOCC1NCCc2ncn(C(C)C)c21	131646961	GECAURAEMJTDBZ-UHFFFAOYSA-N	3-propan-2-yl-4-(prop-2-enoxymethyl)-4,5,6,7-tetrahydroimidazo[4,5-c]pyridine		0												
Chemistry 1142	C=CCn1c2c(ccc1=O)CC(NCc1cccc(C#N)c1)CC2	131660544	VIUKQIXPOISKIK-UHFFFAOYSA-N	3-[[(2-oxo-1-prop-2-enyl-5,6,7,8-tetrahydroquinolin-6-yl)amino]methyl]benzonitrile		0												
Chemistry 1786	C=CCOC1CC2(CCNCC2)c2cc(F)ccc21	121229570	CSZXRNBIWSYJBD-UHFFFAOYSA-N	5-fluoro-1-prop-2-enoxyspiro[1,2-dihydroindene-3,4'-piperidine]		0												
Chemistry 989	C=CCOC1CC2(CCNCC2)c2ccc(C)cc21	131638902	LWXBMVUSBJGCMA-UHFFFAOYSA-N	6-methyl-1-prop-2-enoxyspiro[1,2-dihydroindene-3,4'-piperidine]		0												
Chemistry 1606	C=CCN1CCC2(CC1)CC(NCc1ccc(C)s1)c1ccccc1O2	131655824	NYHJTFFLOJMVDC-UHFFFAOYSA-N	N-[(5-methylthiophen-2-yl)methyl]-1'-prop-2-enylspiro[3,4-dihydrochromene-2,4'-piperidine]-4-amine		0												
Chemistry 1585	C=CCN1CCNCc2cccnc21	97520913	BCCFEFITSKCBHQ-UHFFFAOYSA-N	1-prop-2-enyl-2,3,4,5-tetrahydropyrido[2,3-e][1,4]diazepine		0												
Chemistry 550	C=CCN1C(=O)CC[C@]12CCCN[C@H]2CC	124248607	ZULYZEPAHPCQFI-AAEUAGOBSA-N	(5S,10S)-10-ethyl-1-prop-2-enyl-1,9-diazaspiro[4.5]decan-2-one		0												
Chemistry 1764	C=CCOC1CC2CNC1C2	131657797	NPPQHZWHQFPKBQ-UHFFFAOYSA-N	6-prop-2-enoxy-2-azabicyclo[2.2.1]heptane		0												
Chemistry 559	C=CCN1CCN(C(C)C)C(=O)C12CCNC2	131638133	AWZLBGULKNFWHA-UHFFFAOYSA-N	9-propan-2-yl-6-prop-2-enyl-2,6,9-triazaspiro[4.5]decan-10-one		0												
Chemistry 548	C=CCOC1COC2(CCCNC2)C1	131638373	STVRYIGTAYZQIT-UHFFFAOYSA-N	3-prop-2-enoxy-1-oxa-9-azaspiro[4.5]decane		0												
Chemistry 1275	C=CCOCc1nn(C)c2c1CCNC2	97519991	HGGUHFDUWARIDI-UHFFFAOYSA-N	1-methyl-3-(prop-2-enoxymethyl)-4,5,6,7-tetrahydropyrazolo[5,4-c]pyridine		0												
Chemistry 556	C=CCOCC1CNCc2nnn(CC3CC3)c21	131638197	GCDAJKSTSMTNAY-UHFFFAOYSA-N	1-(cyclopropylmethyl)-7-(prop-2-enoxymethyl)-4,5,6,7-tetrahydrotriazolo[4,5-c]pyridine		0												
Chemistry 553	C=CCOCC1NCCc2ncn(C)c21	131638478	HSISCAWMPWIHEX-UHFFFAOYSA-N	3-methyl-4-(prop-2-enoxymethyl)-4,5,6,7-tetrahydroimidazo[4,5-c]pyridine		0												
Chemistry 549	C=CCN1C(=O)CCC12CCCNCC2	131382275	WFPVRGJGHPXAEM-UHFFFAOYSA-N	1-prop-2-enyl-1,9-diazaspiro[4.6]undecan-2-one		0												
Chemistry 557	C=CCOCc1n[nH]c2c1CNC2	124245641	WNBCVAVPAJDBTH-UHFFFAOYSA-N	3-(prop-2-enoxymethyl)-1,4,5,6-tetrahydropyrrolo[3,4-d]pyrazole		0												
Chemistry 554	C=CCOCc1ncn2c1CNCCC2	124244478	VFLSMFXIRAZLTN-UHFFFAOYSA-N	1-(prop-2-enoxymethyl)-6,7,8,9-tetrahydro-5H-imidazo[1,5-a][1,4]diazepine		0												
Chemistry 555	C=CCOCC1NCCc2c1nnn2C	131638131	HVPQJTSYCCAAAO-UHFFFAOYSA-N	1-methyl-4-(prop-2-enoxymethyl)-4,5,6,7-tetrahydrotriazolo[4,5-c]pyridine		0												
Chemistry 545	C=CCN1C(=O)CC[C@]12CCCN[C@@H]2CC	124248608	ZULYZEPAHPCQFI-YPMHNXCESA-N	(5S,10R)-10-ethyl-1-prop-2-enyl-1,9-diazaspiro[4.5]decan-2-one		0												
Chemistry 551	C=CCN1C(=O)CCC12CCNCC2	124235493	KQYXVCACEGULKF-UHFFFAOYSA-N	1-prop-2-enyl-1,8-diazaspiro[4.5]decan-2-one		0												
Chemistry 546	C=CCN1C(=O)CCCC12CCCNC2	131254300	VLAPWRFBKZLYIO-UHFFFAOYSA-N	1-prop-2-enyl-1,8-diazaspiro[5.5]undecan-2-one		0												
Chemistry 547	C=CCOCc1nn(CC2CC2)c2c1CNCC2	124232157	HCSZTRQLDJGFFK-UHFFFAOYSA-N	1-(cyclopropylmethyl)-3-(prop-2-enoxymethyl)-4,5,6,7-tetrahydropyrazolo[4,3-c]pyridine		0												
Chemistry 560	C=CCN1CCN(C)C2(CCNCC2)C1=O	121229574	FLRABWGGYSTWLQ-UHFFFAOYSA-N	1-methyl-4-prop-2-enyl-1,4,9-triazaspiro[5.5]undecan-5-one		0												
Chemistry 544	C=CCN1CCC2(CCCNC2)C1=O	45074132	GKAHXOJHDQKIMA-UHFFFAOYSA-N	2-prop-2-enyl-2,9-diazaspiro[4.5]decan-1-one		0												
Chemistry 229	C=C(C)CN1c2cccnc2-n2cccc2C12CCNC2	155875145	CWJBJPGSELTUOL-UHFFFAOYSA-N	8-(2-methylprop-2-enyl)spiro[2,8,13-triazatricyclo[7.4.0.02,6]trideca-1(9),3,5,10,12-pentaene-7,3'-pyrrolidine]		0												
Chemistry 494	C=CCOC1CC2(CCNCC2)c2cc(OC)ccc21	131649915	NWLUXKUOAKUSHO-UHFFFAOYSA-N	5-methoxy-1-prop-2-enoxyspiro[1,2-dihydroindene-3,4'-piperidine]		0												
Chemistry 4402	C=CC(=O)Nc1cccc(F)c1C(=O)N1CCNC(c2ccccc2)C1	172887259	RQKSYYAJKZPRCJ-UHFFFAOYSA-N	N-[3-fluoro-2-(3-phenylpiperazine-1-carbonyl)phenyl]prop-2-enamide		0												
Chemistry 24	C=CCN1CC[C@@]2(CNC[C@@H]2c2ccccc2)C1=O	124240803	QNNDUIAWTFUPQG-ZBFHGGJFSA-N	(5R,9R)-9-phenyl-2-prop-2-enyl-2,7-diazaspiro[4.4]nonan-1-one		0												
WX140514_Y23A015	Fc1ccc(CNCC2OCCc3cn(Cc4ccccn4)nc32)cc1	131653891	ADEUWGPZNPYDSN-UHFFFAOYSA-N	N-[(4-fluorophenyl)methyl]-1-[2-(pyridin-2-ylmethyl)-5,7-dihydro-4H-pyrano[3,4-c]pyrazol-7-yl]methanamine		0												
